problem,run,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,feasible_rate
DASCMOP2_BC,2,374,42,1,0.42,42,0,0.00123947503652383,0.00398991921438251,42,20,3,0.00219860754855258,76.1904761904762,0.770495544494993,1.04404154499089,0,5,15,20,0,0.476190476190476,0.117980796242913,0.195484940486765,0,0.210647470959243,77.9289362231665,0.55,0.00542018953542706,0,0.126363061034104,0.210827950047186,0
DASCMOP2_BC,2,375,43,1,0.43,43,0,0.00155556472784652,0.0047409498822872,43,20,3,0.00225095534732764,74.4186046511628,0.773488322886758,1.03933251300037,0,4,16,20,2,0.465116279069767,0.106079800167182,0.153408037992511,0,0.16195601516564,60.6287539039268,0.6,0.0241031078785817,0.0930232558139535,0.117738377467917,0.165119090275871,0.1
DASCMOP2_BC,2,376,43,1,0.43,43,0,0.00146160901318505,0.00435114603217019,43,20,3,0.00225095534732764,74.4186046511628,0.769631858325384,1.02645207643847,0,4,16,20,1,0.465116279069767,0.135166107273315,0.212941950580753,0,0.228614712287891,85.5826510422825,0.4,-0.0582770121377253,0.0465116279069767,0.143777326220753,0.228889899884138,0.05
DASCMOP2_BC,2,377,43,1,0.43,43,0,0.000957780415725175,0.00388385356780356,43,20,3,0.00225095534732764,74.4186046511628,0.730772586185388,1.03933251300037,0,4,16,20,1,0.465116279069767,0.149578529482539,0.278574335536774,0,0.296242498623688,113.431179347944,0.45,-0.00301804518775889,0.0465116279069767,0.162335437307265,0.296341762386007,0.05
DASCMOP2_BC,2,378,41,1,0.41,41,0,0.00187423847995775,0.00939527459691357,41,20,3,0.00214625974977752,78.0487804878049,0.762002539536089,1.04574911463729,0,6,14,20,1,0.48780487804878,0.146983995668222,0.227392507701112,0,0.236827953168952,87.080451628035,0.5,-0.00547044831020593,0.0487804878048781,0.1571748649759,0.238386557156633,0.05
DASCMOP2_BC,2,379,43,1,0.43,43,0,0.00177731004663832,0.00813455517522933,43,20,3,0.00225095534732764,74.4186046511628,0.771359230664603,1.02645207643847,0,3,17,20,0,0.465116279069767,0.140728837911311,0.166756633180746,0,0.181658499560686,68.0044421515136,0.6,0.0390483773723428,0,0.145723115791539,0.181910429809714,0
DASCMOP2_BC,2,380,44,1,0.44,44,0,0.00103582441563436,0.0042216565442753,44,20,3,0.00230330314610271,72.7272727272727,0.770495544494993,1.0338731154238,0,2,18,20,2,0.454545454545455,0.151245450972451,0.192915074867897,0,0.206990081025566,75.6481981848022,0.6,0.0811079430079863,0.0909090909090909,0.152725450906918,0.207336187468626,0.1
DASCMOP2_BC,2,381,43,1,0.43,43,0,0.00151594960545809,0.00427748152053479,43,20,3,0.00225095534732764,74.4186046511628,0.762002539536089,1.02645207643847,0,3,17,20,4,0.465116279069767,0.0938476019523588,0.113322813201524,0,0.11499026298538,43.8331792431999,0.45,-0.0240166432377418,0.186046511627907,0.0981971801138821,0.115050601831901,0.2
DASCMOP2_BC,2,382,44,1,0.44,44,0,0.00120448042516503,0.00578848000047764,44,20,3,0.00230330314610271,72.7272727272727,0.770495544494993,1.0338731154238,0,2,18,20,2,0.454545454545455,0.12723162437277,0.154541442774523,0,0.166154714172816,62.9498686890633,0.55,0.0308918898646723,0.0454545454545455,0.128943494948742,0.166292422574761,0.1
DASCMOP2_BC,2,383,44,1,0.44,44,0,0.000998445947469472,0.0037439509038085,44,20,3,0.00230330314610271,72.7272727272727,0.771579254357673,0.980593911797044,0,3,17,20,1,0.454545454545455,0.183865425358454,0.300654457849953,0,0.317091728842201,117.307941089018,0.5,-0.000337073955563372,0.0454545454545455,0.191606925353832,0.317307559086636,0.05
DASCMOP2_BC,2,384,43,1,0.43,43,0,0.00155063398550397,0.00650437572429727,43,20,3,0.00225095534732764,74.4186046511628,0.773488322886758,1.02645207643847,0,3,17,20,0,0.465116279069767,0.146609279437178,0.220456570384683,0,0.237015097218166,88.7273620930885,0.65,0.0378370935667279,0,0.155501623199196,0.237200848946148,0
DASCMOP2_BC,2,385,43,1,0.43,43,0,0.001471326827575,0.00558583618854257,43,20,3,0.00225095534732764,74.4186046511628,0.769631858325384,1.02645207643847,0,4,16,20,0,0.465116279069767,0.241950831226292,0.324735779750389,0,0.333271208280622,124.76114610158,0.55,0.0466305561876476,0,0.253895869556161,0.336518534364755,0
DASCMOP2_BC,2,386,42,1,0.42,42,0,0.00107723250768533,0.0038889375603601,42,20,3,0.00219860754855258,76.1904761904762,0.757609012102156,1.06392632150525,0,5,15,20,0,0.476190476190476,0.261783583046328,0.392841059497165,0,0.396444587569386,144.887709503514,0.6,0.0139472440372856,0,0.272112340220039,0.396615046035233,0
DASCMOP2_BC,2,387,43,1,0.43,43,0,0.00140416205255237,0.00535392503664618,43,20,3,0.00225095534732764,74.4186046511628,0.796701893549249,1.02311036530067,0,4,16,20,2,0.465116279069767,0.12377612924641,0.194681198095914,0,0.195267975739082,75.689593265699,0.45,-0.022957033272277,0.0465116279069767,0.127952931845307,0.195528157414701,0.1
DASCMOP2_BC,2,388,43,1,0.43,43,0,0.00190503454754165,0.00873056282901263,43,20,3,0.00225095534732764,74.4186046511628,0.771359230664603,1.02645207643847,0,4,16,20,1,0.465116279069767,0.12968946894158,0.165445950310745,0,0.170061279056003,68.1787349956456,0.55,0.0026219711754274,0.0465116279069767,0.136537333620219,0.170123858214057,0.05
DASCMOP2_BC,2,389,44,1,0.44,44,0,0.00130708476205494,0.00548777966247658,44,20,3,0.00230330314610271,72.7272727272727,0.772423776775681,0.963659468999401,0,2,18,20,2,0.454545454545455,0.140907867689354,0.213069218549396,0,0.229180901049992,86.8281571122496,0.55,0.0401471141032982,0.0454545454545455,0.144599734138482,0.229623562314923,0.1
DASCMOP2_BC,2,390,42,1,0.42,42,0,0.00188894413358274,0.00789234975650392,42,20,3,0.00219860754855258,76.1904761904762,0.770495544494993,0.992954557534481,0,4,16,20,1,0.476190476190476,0.146831713227041,0.190013220265202,0,0.201634987889958,72.838131990021,0.55,0.00824425516153027,0.0476190476190476,0.155120609820382,0.203172272405617,0.05
DASCMOP2_BC,2,391,44,1,0.44,44,0,0.00107790464678142,0.00558255800118239,44,20,3,0.00230330314610271,72.7272727272727,0.772423776775681,1.02601927986587,0,3,17,20,1,0.454545454545455,0.142459916355863,0.19959250660669,0,0.21529806049155,79.6494197087404,0.45,-0.0454837610522455,0.0454545454545455,0.146907336060071,0.215630554404921,0.05
DASCMOP2_BC,2,392,44,1,0.44,44,0,0.0010352435786669,0.00417122429949884,44,20,3,0.00230330314610271,72.7272727272727,0.770495544494993,1.02601927986587,0,2,18,20,1,0.454545454545455,0.116843139388782,0.173385675649812,0,0.188460980894139,68.8764097397555,0.55,0.0378583984693373,0.0454545454545455,0.119620870433357,0.188564431360088,0.05
DASCMOP2_BC,2,393,43,1,0.43,43,0,0.00144738075397185,0.00675740378474555,43,20,3,0.00225095534732764,74.4186046511628,0.72772410308086,1.05258903067661,0,4,16,20,4,0.465116279069767,0.0837941498653155,0.171861933685532,0,0.172199605514836,63.3169320502631,0.35,-0.0254321679166086,0.13953488372093,0.0908918805025042,0.17236194247866,0.2
DASCMOP2_BC,2,394,43,1,0.43,43,0,0.00136681218251206,0.00459793280483801,43,20,3,0.00225095534732764,74.4186046511628,0.762002539536089,0.990810420903049,0,4,16,20,9,0.465116279069767,0.0399713609650736,0.156958838056165,0,0.157698469498521,57.3265031460492,0.5,0.00302156765090977,0.186046511627907,0.0404976405203513,0.157730438077374,0.45
