variant,archiveParetoFilterMode,archivePairDirectionMode,archiveSourceCapMode,archivePairRefMode,trainFilterMode,conditionKNNRetainRatio,conditionMode,targetRealLabelMode,generatorMode,ganCriticMode,generatorLossMode,problem,family,run,seed,N,D,maxFE,target_FE,actual_FE,gen,has_GAN,AF_size,AI_size,BoundaryHit_all,ObjInterfaceScore,RefCov,DuplicateRate,GAN_to_Segment_Dist50,GAN_to_Segment_Dist90,GAN_to_Decision_Segment_Dist50,GAN_to_Decision_Segment_Dist90,GAN_to_AF_Dist90,AF_Cover_epsilon,AF_CoverEpsilon,PairCover_epsilon,PairCoverEpsilon,LargestClusterRate_epsilon,EffectiveClusterCount_epsilon,ClusterEpsilon,RawGANOutsideStandardRangeCount,RawGANFeasibleRate,InjectedCount,GAN_to_AF_ObjNN_mean,GAN_to_AF_ObjNN_median,GAN_to_AF_ObjNN_p90,GAN_to_AF_DecNN_mean,GAN_to_AF_DecNN_median,GAN_to_AF_DecNN_p90,RawGANVarClipRate
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP4_BC,DASCMOP_BC,1,1,100,30,100000,30000,30000,149,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.05,NaN,0.05,NaN,NaN,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP4_BC,DASCMOP_BC,1,1,100,30,100000,50000,50150,230,1,69,69,0,0,0.31,0,4.65618722917451,8.98505592276443,0.00731723533159213,0.0110495248060215,8.98505592276443,0,0.05,0,0.05,0.015,156.25,0.05,195,0,NaN,5.08480772182259,4.67188021266527,8.98505592276443,0.00918363082360025,0.00911219625140076,0.0122324221647602,0
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP4_BC,DASCMOP_BC,1,1,100,30,100000,70000,70150,310,1,89,89,0.04,7.54617991286913e-07,0.46,0,1.68786471149426,4.53464587455647,0.00534136318924372,0.00915037981288962,4.53464587455647,0.0224719101123595,0.05,0.0224719101123595,0.05,0.04,105.263157894737,0.05,137,0.065,NaN,2.12410184204638,1.69447144427274,4.53464587455647,0.00635638867056992,0.00594637636518047,0.00983221562202835,0
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP4_BC,DASCMOP_BC,1,1,100,30,100000,100000,100150,430,1,100,100,0,0.000102613423523426,0.48,0,0.709268877443344,2.46795875670769,0.00370676951604344,0.00739254640827479,2.48407749899413,0.02,0.05,0.02,0.05,0.135,24.2718446601942,0.05,80,0.22,NaN,1.0378842022307,0.710796753254216,2.48407749899413,0.00474227385079986,0.00397823531422124,0.00861283008761757,0
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP4_BC,DASCMOP_BC,2,2,100,30,100000,10000,10000,49,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.05,NaN,0.05,NaN,NaN,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP4_BC,DASCMOP_BC,2,2,100,30,100000,30000,30150,138,1,19,19,1,0,0.04,0,35.4433501170062,62.5002016793031,0.0144648926473389,0.0218752581610442,62.592428116079,0,0.05,0,0.05,0.015,181.818181818182,0.05,200,0,NaN,37.2104679565646,35.6034095207832,62.592428116079,0.0164813629885944,0.0160460066985939,0.023444957887247,0
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP4_BC,DASCMOP_BC,2,2,100,30,100000,50000,50150,218,1,50,50,0.005,0,0.42,0,2.77761277672482,5.8002954834875,0.00875760620850749,0.0121283630920568,5.81688090503849,0,0.05,0,0.05,0.015,136.054421768707,0.05,184,0,NaN,3.14354638539499,2.80726603755065,5.81688090503849,0.00986651337644364,0.00966021818186428,0.0134668555841226,0
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP4_BC,DASCMOP_BC,2,2,100,30,100000,70000,70150,298,1,63,63,0.005,0,0.38,0,2.59166400350602,4.85659750743349,0.00809314899835662,0.0116953190008727,4.86238122450663,0,0.05,0,0.05,0.03,105.263157894737,0.05,191,0,NaN,2.92621268481734,2.60138316364805,4.86238122450663,0.00980058251018056,0.00958010502392295,0.0130813272475156,0
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP4_BC,DASCMOP_BC,2,2,100,30,100000,100000,100150,418,1,118,118,0.01,6.04227623307982e-08,0.27,0,2.85767473970077,6.75350723285841,0.0069007688650475,0.0118460098571714,6.75350723285841,0.0338983050847458,0.05,0.0508474576271186,0.05,0.04,73.2600732600733,0.05,185,0.01,NaN,3.4424466842657,2.86299175006043,6.75350723285841,0.00928374532078248,0.00929000329592217,0.0151281375316745,0
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP4_BC,DASCMOP_BC,3,3,100,30,100000,10000,10000,49,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.05,NaN,0.05,NaN,NaN,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
