epoch,taskCount,full20Rate,guidedCountMedian,candidateValidRateMedian,rawFeasibleRateMedian,rawInfeasibleRateMedian,rawBoundaryMarginMedian,rawCVMedian,guidedFeasibleRateMedian,guidedBoundaryMarginMedian,guidedCVMedian,guidedUsefulPerQuotaMedian,validationEndpointMedian,validationRelationMedian,useFEMedian,wallClockMedian,wallClockP90,qualityScoreMedian,qualityScoreIQR,problem
800,5,1,20,0.998,0.82,0.18,0.589175904231906,0,0.65,0.191745836900393,0,0.05,0.206660800898269,0.270678967507953,3300,141.766185666667,279.726518916667,0.769542003092375,0.0145012704378049,LIRCMOP8_BC
10,5,0.6,20,0.41,1,0,15.0007606411236,0,1,6.31823749734095,0,0,1.94737885852956,0.199111941669393,4300,5.04445795833333,9.51925683333333,0.45,0.44813399808103,LIRCMOP10_BC
25,5,0.4,0,0.35,1,0,14.726142280819,0,1,4.74984237461231,0,0,1.89241845657124,0.19755529312681,4300,6.14330795833333,13.1480265,0.104594827494676,0.466037445070262,LIRCMOP10_BC
50,5,0.4,0,0.322,1,0,14.0045489039078,0,1,5.08996748936881,0,0,1.79376558426948,0.186334423013443,4500,12.630358875,22.7113110833333,0.0729464421289526,0.467317935101975,LIRCMOP10_BC
100,5,0.8,20,0.274,1,0,12.6485234664432,0,1,3.80774166746568,0,0,1.82930063467006,0.182658951214207,4500,21.7002160833333,46.9702189166667,0.514427293908469,0.193617439561382,LIRCMOP10_BC
200,5,0.8,20,0.352,1,0,11.825484878569,0,1,0.370438537000391,0,0,1.36837533130121,0.202630959179565,4700,41.0850211666667,107.000198916667,0.590485323309127,0.152616268558827,LIRCMOP10_BC
400,5,1,20,0.748,1,0,6.75145275506896,0,0.95,0.327565386813676,0,0,0.819458808622071,0.171669096464211,4500,55.2215522083333,158.0014785,0.699475250342757,0.18424083575359,LIRCMOP10_BC
800,5,1,20,0.852,0.958,0.042,0.924117513374914,0,0.95,0.205817821376044,0,0,0.645142378201258,0.140927357920874,4300,99.2255374166667,101.008708,0.7957,0.0146279706771947,LIRCMOP10_BC
10,5,0.6,20,0.14,1,0,29.1159317719123,0,1,8.16486802898645,0,0,1.9987051132286,0.147009324543751,5900,7.880225625,11.2044722083333,0.452876882515193,0.509787319859248,LIRCMOP12_BC
25,5,0.4,0,0.232,1,0,37.2391401758767,0,1,10.2407615592235,0,0,1.80000972974594,0.154037139460055,5900,7.914568125,8.622111,0.00698002759320302,0.494164631112504,LIRCMOP12_BC
50,5,0.4,5,0.254,1,0,34.3769900333839,0,1,8.97859761871569,0,0,1.69766884857604,0.152596389807271,5900,5.42050804166667,12.826830375,0.234303744430885,0.494610759490805,LIRCMOP12_BC
100,5,0.4,2,0.27,1,0,30.7537277422007,0,1,9.87922329605744,0,0,1.45488124297894,0.149132670603327,5900,27.3030858333333,32.31924425,0.18,0.429281535123218,LIRCMOP12_BC
200,5,0.4,11,0.384,1,0,23.2641547112675,0,1,7.0273390309231,0,0,1.23541376823937,0.148294547949426,5900,36.6605045833333,80.216807625,0.483548048454943,0.237244820192268,LIRCMOP12_BC
400,5,1,20,0.618,1,0,9.72548459150459,0,1,3.09462311822827,0,0,0.747456452707553,0.152569023605125,5900,15.8501285,53.1797664583333,0.711097920837958,0.107566442255556,LIRCMOP12_BC
800,5,1,20,0.666,0.986,0.014,4.96111001712353,0,0.7,0.566905274481698,0,0,0.35348788390853,0.126724307656136,5900,95.2979066666667,179.641027375,0.7728,0.0163500000000002,LIRCMOP12_BC
10,5,1,20,0.922,0.926,0.074,623.662008588351,0,0.85,34.6657782317665,0,0,0.525481166548542,0.339730293304829,3300,7.40148475,12.7627818333333,0.470464898327955,0.121185726381883,LIRCMOP14_BC
25,5,1,20,0.912,0.896,0.104,529.944880506138,0,0.85,25.0177057904729,0,0,0.50427516225989,0.336770143023971,3300,10.6818345,19.6069299166667,0.601616315092407,0.0768254884863435,LIRCMOP14_BC
50,5,1,20,0.958,0.886,0.114,284.735233717375,0,0.85,29.5063650779323,0,0,0.471080467915641,0.336427420126803,3300,16.7131207083333,30.96750675,0.65407228858097,0.0860100897443649,LIRCMOP14_BC
100,5,1,20,0.988,0.866,0.134,165.12165984783,0,0.95,28.0850288991878,0,0,0.223524424631135,0.306687923544339,3500,29.8467458333333,57.7502361666667,0.753073400487888,0.0754558663101296,LIRCMOP14_BC
200,5,1,20,0.998,0.792,0.208,64.46884963098,0,0.9,18.5249555729581,0,0,0.220349823961357,0.304935824993207,3300,55.001557375,63.6305024166667,0.771905909736786,0.153328368318709,LIRCMOP14_BC
400,5,1,20,0.998,0.78,0.22,31.9521344878094,0,0.8,16.6090238379095,0,0,0.20344647110469,0.266899948645779,3300,82.3544885833333,241.904079625,0.775977722393537,0.0718848080193468,LIRCMOP14_BC
800,5,1,20,1,0.744,0.256,18.5060069506592,0,0.7,5.79492011618885,0,0.05,0.121258889796551,0.19694589702301,3500,204.808553958333,235.985505166667,0.7978,0.0336597917877793,LIRCMOP14_BC
