problem,seed,arm,finalIGD,finalHV,lateIGDAUC,lateHVAUC,wallSeconds,maxFE,sourceHash
LIRCMOP7_BC,12,original,0.00873593475567276,0.293519962877681,0.0410527613216371,0.279899454958211,1012.49477866667,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP7_BC,12,fallback_only,0.0152900051470923,0.2894556952333,0.0520083183872065,0.272230376139485,62.9550794583333,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP7_BC,12,pair_only,0.00771078718274717,0.294735839868849,0.0466844123632239,0.276982175424547,98.3410410833333,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP7_BC,13,original,0.00854992003834667,0.293342924188587,0.00907802280499242,0.292995262442947,1066.73615220833,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP7_BC,13,fallback_only,0.00843363222334867,0.293585662903577,0.00951036170248262,0.29276982075154,75.6370855833333,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP7_BC,13,pair_only,0.0067749317527983,0.294799214246204,0.00710421036008172,0.294531504549839,97.9119141666667,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP7_BC,14,original,0.00847397889727073,0.293588859995245,0.0123141219204936,0.291276998201727,681.3542365,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP7_BC,14,fallback_only,0.0087300065842131,0.293648970164697,0.00921975365177973,0.293142910417758,78.2693450833333,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP7_BC,14,pair_only,0.0066793227170988,0.295064866991392,0.00696497664071027,0.294814608666329,98.915701625,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP7_BC,15,original,0.00871709001296342,0.293257990395485,0.0175922778542734,0.29001905391028,892.800254875,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP7_BC,15,fallback_only,0.00881347373729682,0.293187309048211,0.0129065799088809,0.291021298834911,74.9697614583333,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP7_BC,15,pair_only,0.00700312638813711,0.29494051659545,0.00788988342436994,0.294166793692318,111.615407416667,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP8_BC,11,original,0.00819350715828542,0.293437782291044,0.0359849684301735,0.286214291295476,1065.99473725,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP8_BC,11,fallback_only,0.00930944315542322,0.292973333684402,0.0516748537851433,0.282669504450667,73.1991722916667,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP8_BC,11,pair_only,0.00697041165207176,0.294746745638046,0.0419201816987028,0.286888494222888,117.178891291667,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP8_BC,12,original,0.00807929238341736,0.294016613490248,0.0359023799191496,0.282663282738176,1085.82425425,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP8_BC,12,fallback_only,0.00804731517892438,0.293867348473278,0.0164208355073688,0.289564334586389,81.9052925833333,100000,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
