variant,maxCandidatePairsPerRef,problem,run,target_FE,actual_FE,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,feasible_rate
pair1,1,DASCMOP2_BC,2,30000,30050,138,33,1,0.33,33,0,0.00357158764656433,0.0174792511901256,33,20,3,0.00172747735957703,96.969696969697,0.736251291107829,0.990627477645183,0,12,8,20,9,0.606060606060606,0.0226617001713086,0.0312458633058437,0,0.0326672171460412,12.3057073754437,0.55,0.040517441740052,0.242424242424242,0.0281201279023102,0.0385753904763504,0.45
pair1,1,DASCMOP2_BC,2,50000,50070,229,44,1,0.44,44,0,0.00312895928519717,0.0104480320681297,44,20,3,0.00230330314610271,72.7272727272727,0.636179683867955,1.01533570471374,0,3,17,20,3,0.454545454545455,0.0701794210748576,0.171737451264451,0,0.172739048417867,68.997803717834,0.5,-0.00127868788304197,0.136363636363636,0.073345462204284,0.172931635119197,0.15
pair1,1,DASCMOP2_BC,2,70000,70090,320,45,1,0.45,45,0,0.00178429867210833,0.0107875997157569,45,20,3,0.00235565094487777,71.1111111111111,0.762002539536089,1.02558648329326,0,2,18,20,5,0.444444444444444,0.0794577843561599,0.14111985589416,0,0.141244870159056,56.5158650213612,0.55,0.0306365516055019,0.222222222222222,0.0821721634189081,0.141343237411857,0.25
pair1,1,DASCMOP2_BC,2,100000,100010,456,46,1,0.46,46,0,0.00133638495945034,0.00556684117786172,46,20,3,0.00240799874365283,69.5652173913043,0.731729800323627,1.02948165244671,0,5,15,20,2,0.434782608695652,0.103294945806507,0.123220273038605,0,0.123891353569906,45.8335499922476,0.6,0.0273835291705616,0.0869565217391304,0.106016167177494,0.124108451865104,0.1
pair1,1,DASCMOP2_BC,3,10000,10100,46,21,1,0.21,21,0,0.0091775150180938,0.0289749927644422,21,20,3,0.00109930377427629,100,0.823566223006918,1.10364907117925,0,6,14,20,1,0.952380952380952,0.0140442096486565,0.0210797909506726,0,0.0258181793195134,12.7874422923969,0.9,0.19554234712954,0.0952380952380952,0.0191440241605936,0.0269408774109347,0.05
pair1,1,DASCMOP2_BC,3,30000,30069,137,41,1,0.41,41,0,0.00278854998714426,0.00883969528405124,41,20,3,0.00214625974977752,78.0487804878049,0.776871410533966,1.03875750971461,0,9,11,20,0,0.48780487804878,0.0168914835178212,0.029841086182154,0,0.0336287540824595,11.0512723645713,0.95,0.08930351363652,0,0.0337122516104351,0.0424711795876602,0
pair1,1,DASCMOP2_BC,3,50000,50089,228,46,1,0.46,46,0,0.00268801173188284,0.00898690335589664,46,20,3,0.00240799874365283,69.5652173913043,0.729010676159003,0.959956626697699,0,4,16,20,2,0.434782608695652,0.0385848272893113,0.143617978364477,0,0.145359943042093,48.3533564411379,0.8,0.13146179834198,0.0869565217391304,0.0504666616251103,0.14546854929835,0.1
pair1,1,DASCMOP2_BC,3,70000,70109,319,44,1,0.44,44,0,0.0018506173945548,0.00785628586588849,44,20,3,0.00230330314610271,72.7272727272727,0.775182226968924,0.991399327843386,0,6,14,20,2,0.454545454545455,0.188671445102702,0.422631936419944,0,0.425963124158401,135.261222070073,0.7,0.0262843648498632,0.0909090909090909,0.19286505854245,0.426724653366586,0.1
pair1,1,DASCMOP2_BC,3,100000,100029,455,44,1,0.44,44,0,0.00126411009530435,0.00494960419592455,44,20,3,0.00230330314610271,72.7272727272727,0.664090332534289,1.0406316708545,0,7,13,20,2,0.454545454545455,0.0740117060638474,0.272206078201938,0,0.272206078201938,87.7593201810552,0.4,-0.030070267664174,0.0909090909090909,0.077350087211926,0.272976808758045,0.1
pair1,1,DASCMOP4_BC,1,10000,10079,48,10,1,0.1,10,0,0.00322695251467739,0.00581331377972773,10,20,3,0.000523477987750615,100,0.046745696975109,0.256191556579565,0,20,0,20,0,2,2.21756817676061,2.36178785473066,0,2.36855443541377,370.474690178405,0.85,0.0100358240639092,0,2.22740836586009,2.37382044358773,0
pair1,1,DASCMOP4_BC,1,30000,30099,139,19,1,0.19,19,0,0.000149231392395202,0.000550127217930858,19,20,3,0.000994608176726169,100,0.00245004403515393,0.0635148581696295,0,20,0,20,0,1.05263157894737,1.10208155718229,2.45268146580313,0,2.45268146580313,2422.79506994715,0.55,0.00034423143965609,0,1.10672426149263,2.45340422959482,0
pair1,1,DASCMOP4_BC,1,50000,50119,230,23,1,0.23,23,0,0.000120813222295867,0.000591613230804847,23,20,3,0.00120399937182641,100,0.00215782280996387,0.00710696127123473,0,20,0,20,0,0.869565217391304,1.62506601750115,1.81734499395616,0,1.81992286213031,1690.15828771497,0.35,-0.000483651948627879,0,1.62576629091372,1.82136429118184,0
pair1,1,DASCMOP4_BC,1,70000,70139,321,21,1,0.21,21,0,0.000177496738429643,0.000541541804646877,21,20,3,0.00109930377427629,100,0.00203923772622755,0.0029300232336973,0,20,0,20,0,0.952380952380952,0.981310047575744,2.27126692499319,0,2.27126692499319,1744.30572283778,0.6,0.0008911497953598,0,0.987222404972733,2.27236799898903,0
pair1,1,DASCMOP4_BC,1,100000,100059,457,16,1,0.16,16,0,6.24402150017189e-05,0.00019724879897388,16,20,3,0.000837564780400984,100,0.00202585075043456,0.00351316451304679,0,20,0,20,0,1.25,0.64059194192172,0.93179607947921,0,0.93179607947921,530.796400223886,0,-0.000364328365792504,0,0.642015990812232,0.93333924100499,0
pair1,1,DASCMOP4_BC,2,10000,10000,49,0,0,NaN,0,0,NaN,NaN,0,0,3,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
pair1,1,DASCMOP4_BC,2,30000,30000,149,0,0,NaN,0,0,NaN,NaN,0,0,3,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
pair1,1,DASCMOP4_BC,2,50000,50035,249,3,1,0.03,3,0,0.00402045607223447,0.00550395106090593,3,11,3,0.000157043396325185,100,0.0254392612935335,0.0374805847363715,0,9,2,11,0,3.66666666666667,1.87968476683296,1.90670826293162,0,1.90670826293162,388.047907021075,0.272727272727273,-0.000856974229015206,0,1.87972988513517,1.90779828539438,0
pair1,1,DASCMOP4_BC,2,70000,70136,341,28,1,0.28,28,0,0.00334855868435037,0.00737699515757258,28,20,3,0.00146573836570172,100,0.0992747461370301,0.163273008562315,0,20,0,20,0,0.714285714285714,0.987054041996833,1.6034283310585,0,1.60548998456298,809.569472636671,0.55,0.000715844183402925,0,0.987851229479867,1.60602035694402,0
pair1,1,DASCMOP4_BC,2,100000,100056,477,22,1,0.22,22,0,0.000727089460531954,0.00338516618983567,22,20,3,0.00115165157305135,100,0.00581637760742058,0.101893408891239,0,20,0,20,0,0.909090909090909,1.46605148790037,1.90116598700087,0,1.90116598700087,1457.22073989773,0.8,0.0180053595244281,0,1.47062739842356,1.91435033566801,0
pair1,1,DASCMOP4_BC,3,10000,10037,48,17,1,0.17,17,0,0.00599811888871134,0.0111426224799298,17,20,3,0.000889912579176046,100,0.0296855737762118,0.102594915372753,0,20,0,20,0,1.17647058823529,1.59301787916277,2.02369891552683,0,2.02586139129681,605.366891409226,0.65,0.00368648458089152,0,1.59674051080065,2.02673054514312,0
pair1,1,DASCMOP4_BC,3,30000,30057,139,24,1,0.24,24,0,0.00164182893616272,0.00453639316578926,24,20,3,0.00125634717060148,100,0.0199897000355503,0.105663780391106,0,20,0,20,0,0.833333333333333,1.09224691101912,1.56792651233323,0,1.56792651233323,1288.79007782091,0.8,0.00156787924445832,0,1.09425853943193,1.58148409716362,0
pair1,1,DASCMOP4_BC,3,50000,50077,230,21,1,0.21,21,0,0.000215193973781486,0.000639567454777732,21,20,3,0.00109930377427629,100,0.00306618710214036,0.0986744632332937,0,14,6,20,0,0.952380952380952,1.54732388860695,1.92637590499378,0,1.92760854365233,2846.6072755918,0.5,0.000143498127507496,0,1.5489500961327,1.92816630912831,0
pair1,1,DASCMOP4_BC,3,70000,70097,321,21,1,0.21,21,0,0.000106804954539951,0.000597788967668903,21,20,3,0.00109930377427629,100,0.00254270287722706,0.0999210644499194,0,20,0,20,0,0.952380952380952,1.26454377573556,1.56182972979011,0,1.56182972979011,1755.02194342256,0,-0.0329681579350881,0,1.26717126183069,1.56360017901552,0
pair1,1,DASCMOP4_BC,3,100000,100017,457,17,1,0.17,17,0,7.02857523635955e-05,0.000517052595491958,17,20,3,0.000889912579176046,100,0.00272412608146887,0.100432178975512,0,20,0,20,0,1.17647058823529,0.469367369786416,0.983783416608653,0,0.988908134727229,710.344602333309,0.6,0.000321224526590357,0,0.472752460788451,0.989768934948047,0
