problem,run,seed,FE,DE20IGD,CGANIGD,deltaDE20MinusCGAN
LIRCMOP12_BC,1,1,10000,0.324511113508818,0.324579147337561,-6.8033828742986e-05
LIRCMOP12_BC,1,1,20000,0.3095420481721,0.298174511281142,0.0113675368909582
LIRCMOP12_BC,1,1,30000,0.28850494093996,0.285114371978922,0.00339056896103773
LIRCMOP12_BC,1,1,40000,0.285270988311713,0.265909958066946,0.0193610302447677
LIRCMOP12_BC,1,1,50000,0.174360911536078,0.175288311461172,-0.000927399925094025
LIRCMOP12_BC,1,1,60000,0.156386561938099,0.152062568709647,0.00432399322845173
LIRCMOP12_BC,1,1,70000,0.138105616123743,0.11912268312829,0.0189829329954534
LIRCMOP12_BC,1,1,80000,0.106938784924563,0.0976903917718961,0.00924839315266723
LIRCMOP12_BC,1,1,90000,0.0875525730314699,0.0550297628135421,0.0325228102179278
LIRCMOP12_BC,1,1,100000,0.0341675994614109,0.0342936402058182,-0.000126040744407321
LIRCMOP12_BC,2,2,10000,0.299486685831403,0.296888041431094,0.00259864440030805
LIRCMOP12_BC,2,2,20000,0.23073991897098,0.293840723542572,-0.0631008045715916
LIRCMOP12_BC,2,2,30000,0.192239112288378,0.287469361321045,-0.0952302490326669
LIRCMOP12_BC,2,2,40000,0.179888111256076,0.177524616009756,0.00236349524632021
LIRCMOP12_BC,2,2,50000,0.162683711438715,0.150041063301038,0.0126426481376774
LIRCMOP12_BC,2,2,60000,0.140309521742775,0.141306695840354,-0.000997174097579573
LIRCMOP12_BC,2,2,70000,0.136335483114211,0.135582856471841,0.000752626642370691
LIRCMOP12_BC,2,2,80000,0.103676756372957,0.12863841361046,-0.0249616572375023
LIRCMOP12_BC,2,2,90000,0.0829763124503035,0.091905470018859,-0.00892915756855556
LIRCMOP12_BC,2,2,100000,0.0445808722334607,0.0792323002899237,-0.034651428056463
LIRCMOP12_BC,3,3,10000,0.294468195906596,0.218187891437868,0.076280304468728
LIRCMOP12_BC,3,3,20000,0.288303549765206,0.183365646241597,0.104937903523609
LIRCMOP12_BC,3,3,30000,0.203549778523641,0.170133446025766,0.0334163324978747
LIRCMOP12_BC,3,3,40000,0.167537202708521,0.163912135445582,0.0036250672629394
LIRCMOP12_BC,3,3,50000,0.143709209985604,0.154483572873752,-0.0107743628881477
LIRCMOP12_BC,3,3,60000,0.137246089627832,0.14682451873348,-0.00957842910564802
LIRCMOP12_BC,3,3,70000,0.132652768995044,0.139637995828889,-0.00698522683384514
LIRCMOP12_BC,3,3,80000,0.094574468194721,0.138626956130215,-0.0440524879354939
LIRCMOP12_BC,3,3,90000,0.0803443476594597,0.131856593250767,-0.0515122455913076
LIRCMOP12_BC,3,3,100000,0.030771781557129,0.0982236081499739,-0.0674518265928448
LIRCMOP12_BC,4,4,10000,0.260663501498621,0.284514428627258,-0.0238509271286369
LIRCMOP12_BC,4,4,20000,0.166419686330941,0.141417731649345,0.0250019546815962
LIRCMOP12_BC,4,4,30000,0.166442553759516,0.131777817881578,0.0346647358779382
LIRCMOP12_BC,4,4,40000,0.166491760377034,0.10705877419273,0.0594329861843039
LIRCMOP12_BC,4,4,50000,0.130148665938718,0.097217107677107,0.0329315582616109
LIRCMOP12_BC,4,4,60000,0.117258160091003,0.0375101827710457,0.0797479773199568
LIRCMOP12_BC,4,4,70000,0.104980666047194,0.0179669431943236,0.0870137228528708
LIRCMOP12_BC,4,4,80000,0.0974139016986237,0.0114214768754308,0.0859924248231928
LIRCMOP12_BC,4,4,90000,0.0569352636571835,0.00726615922035581,0.0496691044368276
LIRCMOP12_BC,4,4,100000,0.0354581869479282,0.00612870505281747,0.0293294818951108
LIRCMOP12_BC,5,5,10000,0.439346590246555,0.302198879952666,0.137147710293889
LIRCMOP12_BC,5,5,20000,0.416391347307622,0.286575610757312,0.129815736550309
LIRCMOP12_BC,5,5,30000,0.407217986580283,0.191666758670493,0.21555122790979
LIRCMOP12_BC,5,5,40000,0.225536680070122,0.156208767199691,0.0693279128704312
LIRCMOP12_BC,5,5,50000,0.208556070522271,0.14768737849778,0.0608686920244908
LIRCMOP12_BC,5,5,60000,0.149529091508516,0.138049452435971,0.0114796390725447
LIRCMOP12_BC,5,5,70000,0.117318921936899,0.13432459203997,-0.0170056701030718
LIRCMOP12_BC,5,5,80000,0.0681737655863525,0.102710781204801,-0.034537015618449
LIRCMOP12_BC,5,5,90000,0.0416126627700158,0.0852197076939434,-0.0436070449239276
LIRCMOP12_BC,5,5,100000,0.0222060640378928,0.0807539629863606,-0.0585478989484679
