problem,run,target_FE,variant_to,variant_from,delta_query_obj_dist90,delta_boundary_dist90,delta_ref_cover,delta_feasible_rate,delta_missing_ref_query_obj_dist90,delta_large_gap_query_obj_dist90,delta_condition_dim
DASCMOP2_BC,3,70000,B_ref_y_tau,A_ref_tau,0.027125575754212,0.025620707928334,-0.081632653061224,-0.1,-0.002810158156057,0.0272273691761,2
DASCMOP2_BC,3,70000,C_ref_y,B_ref_y_tau,-0.0839762612628694,-0.0849254788963609,0.085884353741496,0.1,0.0161309760523707,-0.0838042376022848,-1
DASCMOP2_BC,3,70000,C_ref_y,A_ref_tau,-0.0568506855086574,-0.0593047709680269,0.004251700680272,0,0.0133208178963137,-0.0565768684261848,1
DASCMOP2_BC,3,100000,B_ref_y_tau,A_ref_tau,0.432800838111817,0.428670321473187,-0.088888888888889,-0.1,0.488798883488969,0.411889743268894,2
DASCMOP2_BC,3,100000,C_ref_y,B_ref_y_tau,-0.540389640432516,-0.539805469468315,0.084057971014493,0.15,-0.540040742378298,-0.542003793739467,-1
DASCMOP2_BC,3,100000,C_ref_y,A_ref_tau,-0.107588802320699,-0.111135147995128,-0.00483091787439599,0.05,-0.0512418588893287,-0.130114050470573,1
DASCMOP4_BC,1,10000,B_ref_y_tau,A_ref_tau,-0.07808631485331,-0.0775335326020903,0,0,-0.07808631485331,NaN,2
DASCMOP4_BC,1,10000,C_ref_y,B_ref_y_tau,0.34300872509243,0.34145442783796,0,0,0.34300872509243,NaN,-1
DASCMOP4_BC,1,10000,C_ref_y,A_ref_tau,0.26492241023912,0.26392089523587,0,0,0.26492241023912,NaN,1
DASCMOP4_BC,1,30000,B_ref_y_tau,A_ref_tau,-0.0623491154520701,-0.0816191544437599,0,0,-0.0623491154520701,NaN,2
DASCMOP4_BC,1,30000,C_ref_y,B_ref_y_tau,-0.26231811881026,-0.25051866704061,0,0,-0.26231811881026,NaN,-1
DASCMOP4_BC,1,30000,C_ref_y,A_ref_tau,-0.32466723426233,-0.33213782148437,0,0,-0.32466723426233,NaN,1
DASCMOP4_BC,1,50000,B_ref_y_tau,A_ref_tau,1.00701011872226,1.00745894119252,0,0,1.02159753105346,NaN,2
DASCMOP4_BC,1,50000,C_ref_y,B_ref_y_tau,-1.06800455980829,-1.06761900695516,0,0,-1.08259197213949,NaN,-1
DASCMOP4_BC,1,50000,C_ref_y,A_ref_tau,-0.06099444108603,-0.060160065762638,0,0,-0.06099444108603,NaN,1
DASCMOP4_BC,1,70000,B_ref_y_tau,A_ref_tau,0.972387246474878,0.971078558485254,0,0,0.972387246474878,NaN,2
DASCMOP4_BC,1,70000,C_ref_y,B_ref_y_tau,-1.62469929130129,-1.62460151077631,0,0,-1.62469929130129,NaN,-1
DASCMOP4_BC,1,70000,C_ref_y,A_ref_tau,-0.652312044826413,-0.653522952291055,0,0,-0.652312044826413,NaN,1
DASCMOP4_BC,1,100000,B_ref_y_tau,A_ref_tau,0.51669333833556,0.517640614569507,0,0,0.51669333833556,NaN,2
DASCMOP4_BC,1,100000,C_ref_y,B_ref_y_tau,-0.570826124564468,-0.569853003139745,0,0,-0.570826124564468,NaN,-1
DASCMOP4_BC,1,100000,C_ref_y,A_ref_tau,-0.054132786228908,-0.052212388570238,0,0,-0.054132786228908,NaN,1
DASCMOP4_BC,2,10000,B_ref_y_tau,A_ref_tau,NaN,NaN,NaN,NaN,NaN,NaN,2
DASCMOP4_BC,2,10000,C_ref_y,B_ref_y_tau,NaN,NaN,NaN,NaN,NaN,NaN,-1
DASCMOP4_BC,2,10000,C_ref_y,A_ref_tau,NaN,NaN,NaN,NaN,NaN,NaN,1
DASCMOP4_BC,2,30000,B_ref_y_tau,A_ref_tau,NaN,NaN,NaN,NaN,NaN,NaN,2
DASCMOP4_BC,2,30000,C_ref_y,B_ref_y_tau,NaN,NaN,NaN,NaN,NaN,NaN,-1
DASCMOP4_BC,2,30000,C_ref_y,A_ref_tau,NaN,NaN,NaN,NaN,NaN,NaN,1
DASCMOP4_BC,2,50000,B_ref_y_tau,A_ref_tau,0.33397725491954,0.33428328929003,0,0,0.21462034349115,0.5629062220726,2
DASCMOP4_BC,2,50000,C_ref_y,B_ref_y_tau,-0.32752258426511,-0.32759889748714,0,0,-0.31980215475837,-0.36184338625902,-1
DASCMOP4_BC,2,50000,C_ref_y,A_ref_tau,0.00645467065442995,0.00668439180289004,0,0,-0.10518181126722,0.20106283581358,1
DASCMOP4_BC,2,70000,B_ref_y_tau,A_ref_tau,-0.32789712374336,-0.33100916730464,0,0,-0.32789712374336,NaN,2
DASCMOP4_BC,2,70000,C_ref_y,B_ref_y_tau,-0.46424571285143,-0.46790568136615,0,0,-0.46424571285143,NaN,-1
DASCMOP4_BC,2,70000,C_ref_y,A_ref_tau,-0.79214283659479,-0.79891484867079,0,0,-0.79214283659479,NaN,1
DASCMOP4_BC,2,100000,B_ref_y_tau,A_ref_tau,-0.56918042411827,-0.56609062342991,0,0,-0.56918042411827,NaN,2
DASCMOP4_BC,2,100000,C_ref_y,B_ref_y_tau,-0.26561437046966,-0.25227854316878,0,0,-0.26561437046966,NaN,-1
DASCMOP4_BC,2,100000,C_ref_y,A_ref_tau,-0.83479479458793,-0.81836916659869,0,0,-0.83479479458793,NaN,1
DASCMOP4_BC,3,10000,B_ref_y_tau,A_ref_tau,-0.0761177660997301,-0.0789875373364601,0,0,-0.0761177660997301,NaN,2
DASCMOP4_BC,3,10000,C_ref_y,B_ref_y_tau,-0.0501684559333899,-0.0505859791087599,0,0,-0.0501684559333899,NaN,-1
DASCMOP4_BC,3,10000,C_ref_y,A_ref_tau,-0.12628622203312,-0.12957351644522,0,0,-0.12628622203312,NaN,1
DASCMOP4_BC,3,30000,B_ref_y_tau,A_ref_tau,0.00245163169979001,0.0026630449243199,0,0,0.00245163169979001,NaN,2
DASCMOP4_BC,3,30000,C_ref_y,B_ref_y_tau,-0.75150195569462,-0.75170386844759,0,0,-0.75150195569462,NaN,-1
DASCMOP4_BC,3,30000,C_ref_y,A_ref_tau,-0.74905032399483,-0.74904082352327,0,0,-0.74905032399483,NaN,1
DASCMOP4_BC,3,50000,B_ref_y_tau,A_ref_tau,-0.30584750870357,-0.30387397978398,0,0,-0.30584750870357,NaN,2
DASCMOP4_BC,3,50000,C_ref_y,B_ref_y_tau,-0.73260685145956,-0.73639030395867,0,0,-0.73260685145956,NaN,-1
DASCMOP4_BC,3,50000,C_ref_y,A_ref_tau,-1.03845436016313,-1.04026428374265,0,0,-1.03845436016313,NaN,1
DASCMOP4_BC,3,70000,B_ref_y_tau,A_ref_tau,0.63905706534833,0.6365295154499,0,0,0.63905706534833,NaN,2
DASCMOP4_BC,3,70000,C_ref_y,B_ref_y_tau,-1.0626126007382,-1.06554299068523,0,0,-1.0626126007382,NaN,-1
DASCMOP4_BC,3,70000,C_ref_y,A_ref_tau,-0.423555535389867,-0.429013475235331,0,0,-0.423555535389867,NaN,1
DASCMOP4_BC,3,100000,B_ref_y_tau,A_ref_tau,0.366813225178977,0.367042473389813,0,0,0.366813225178977,NaN,2
DASCMOP4_BC,3,100000,C_ref_y,B_ref_y_tau,-0.548002394800444,-0.549260270307469,0,0,-0.548002394800444,NaN,-1
DASCMOP4_BC,3,100000,C_ref_y,A_ref_tau,-0.181189169621467,-0.182217796917656,0,0,-0.181189169621467,NaN,1
DASCMOP5_BC,1,10000,B_ref_y_tau,A_ref_tau,NaN,NaN,NaN,NaN,NaN,NaN,2
DASCMOP5_BC,1,10000,C_ref_y,B_ref_y_tau,NaN,NaN,NaN,NaN,NaN,NaN,-1
DASCMOP5_BC,1,10000,C_ref_y,A_ref_tau,NaN,NaN,NaN,NaN,NaN,NaN,1
DASCMOP5_BC,1,30000,B_ref_y_tau,A_ref_tau,NaN,NaN,NaN,NaN,NaN,NaN,2
DASCMOP5_BC,1,30000,C_ref_y,B_ref_y_tau,NaN,NaN,NaN,NaN,NaN,NaN,-1
DASCMOP5_BC,1,30000,C_ref_y,A_ref_tau,NaN,NaN,NaN,NaN,NaN,NaN,1
DASCMOP5_BC,1,50000,B_ref_y_tau,A_ref_tau,NaN,NaN,NaN,NaN,NaN,NaN,2
DASCMOP5_BC,1,50000,C_ref_y,B_ref_y_tau,NaN,NaN,NaN,NaN,NaN,NaN,-1
DASCMOP5_BC,1,50000,C_ref_y,A_ref_tau,NaN,NaN,NaN,NaN,NaN,NaN,1
DASCMOP5_BC,1,70000,B_ref_y_tau,A_ref_tau,0.16366084553369,0.16214750095355,0,0,0.16366084553369,NaN,2
DASCMOP5_BC,1,70000,C_ref_y,B_ref_y_tau,-0.0953452049599703,-0.0979900228186699,0,0,-0.0953452049599703,NaN,-1
DASCMOP5_BC,1,70000,C_ref_y,A_ref_tau,0.0683156405737197,0.0641574781348802,0,0,0.0683156405737197,NaN,1
DASCMOP5_BC,1,100000,B_ref_y_tau,A_ref_tau,-0.93715190141872,-0.93989056752279,0,0,-0.93715190141872,NaN,2
DASCMOP5_BC,1,100000,C_ref_y,B_ref_y_tau,-0.35007937884884,-0.35041828901128,0,0,-0.35007937884884,NaN,-1
DASCMOP5_BC,1,100000,C_ref_y,A_ref_tau,-1.28723128026756,-1.29030885653407,0,0,-1.28723128026756,NaN,1
DASCMOP5_BC,2,10000,B_ref_y_tau,A_ref_tau,NaN,NaN,NaN,NaN,NaN,NaN,2
DASCMOP5_BC,2,10000,C_ref_y,B_ref_y_tau,NaN,NaN,NaN,NaN,NaN,NaN,-1
DASCMOP5_BC,2,10000,C_ref_y,A_ref_tau,NaN,NaN,NaN,NaN,NaN,NaN,1
DASCMOP5_BC,2,30000,B_ref_y_tau,A_ref_tau,NaN,NaN,NaN,NaN,NaN,NaN,2
DASCMOP5_BC,2,30000,C_ref_y,B_ref_y_tau,NaN,NaN,NaN,NaN,NaN,NaN,-1
DASCMOP5_BC,2,30000,C_ref_y,A_ref_tau,NaN,NaN,NaN,NaN,NaN,NaN,1
DASCMOP5_BC,2,50000,B_ref_y_tau,A_ref_tau,NaN,NaN,NaN,NaN,NaN,NaN,2
DASCMOP5_BC,2,50000,C_ref_y,B_ref_y_tau,NaN,NaN,NaN,NaN,NaN,NaN,-1
DASCMOP5_BC,2,50000,C_ref_y,A_ref_tau,NaN,NaN,NaN,NaN,NaN,NaN,1
DASCMOP5_BC,2,70000,B_ref_y_tau,A_ref_tau,NaN,NaN,NaN,NaN,NaN,NaN,2
DASCMOP5_BC,2,70000,C_ref_y,B_ref_y_tau,NaN,NaN,NaN,NaN,NaN,NaN,-1
DASCMOP5_BC,2,70000,C_ref_y,A_ref_tau,NaN,NaN,NaN,NaN,NaN,NaN,1
DASCMOP5_BC,2,100000,B_ref_y_tau,A_ref_tau,NaN,NaN,NaN,NaN,NaN,NaN,2
DASCMOP5_BC,2,100000,C_ref_y,B_ref_y_tau,NaN,NaN,NaN,NaN,NaN,NaN,-1
DASCMOP5_BC,2,100000,C_ref_y,A_ref_tau,NaN,NaN,NaN,NaN,NaN,NaN,1
DASCMOP5_BC,3,10000,B_ref_y_tau,A_ref_tau,NaN,NaN,NaN,NaN,NaN,NaN,2
DASCMOP5_BC,3,10000,C_ref_y,B_ref_y_tau,NaN,NaN,NaN,NaN,NaN,NaN,-1
DASCMOP5_BC,3,10000,C_ref_y,A_ref_tau,NaN,NaN,NaN,NaN,NaN,NaN,1
DASCMOP5_BC,3,30000,B_ref_y_tau,A_ref_tau,NaN,NaN,NaN,NaN,NaN,NaN,2
DASCMOP5_BC,3,30000,C_ref_y,B_ref_y_tau,NaN,NaN,NaN,NaN,NaN,NaN,-1
DASCMOP5_BC,3,30000,C_ref_y,A_ref_tau,NaN,NaN,NaN,NaN,NaN,NaN,1
DASCMOP5_BC,3,50000,B_ref_y_tau,A_ref_tau,NaN,NaN,NaN,NaN,NaN,NaN,2
DASCMOP5_BC,3,50000,C_ref_y,B_ref_y_tau,NaN,NaN,NaN,NaN,NaN,NaN,-1
DASCMOP5_BC,3,50000,C_ref_y,A_ref_tau,NaN,NaN,NaN,NaN,NaN,NaN,1
DASCMOP5_BC,3,70000,B_ref_y_tau,A_ref_tau,NaN,NaN,NaN,NaN,NaN,NaN,2
DASCMOP5_BC,3,70000,C_ref_y,B_ref_y_tau,NaN,NaN,NaN,NaN,NaN,NaN,-1
DASCMOP5_BC,3,70000,C_ref_y,A_ref_tau,NaN,NaN,NaN,NaN,NaN,NaN,1
DASCMOP5_BC,3,100000,B_ref_y_tau,A_ref_tau,NaN,NaN,NaN,NaN,NaN,NaN,2
DASCMOP5_BC,3,100000,C_ref_y,B_ref_y_tau,NaN,NaN,NaN,NaN,NaN,NaN,-1
DASCMOP5_BC,3,100000,C_ref_y,A_ref_tau,NaN,NaN,NaN,NaN,NaN,NaN,1
LIRCMOP5_BC,1,10000,B_ref_y_tau,A_ref_tau,0.0073785736776333,0.0101730257000171,0.342857142857143,1,0.0073785736776333,NaN,2
LIRCMOP5_BC,1,10000,C_ref_y,B_ref_y_tau,0.0241961723294411,0.0055333403411164,0.157142857142857,0,0.0241961723294411,NaN,-1
LIRCMOP5_BC,1,10000,C_ref_y,A_ref_tau,0.0315747460070744,0.0157063660411335,0.5,1,0.0315747460070744,NaN,1
LIRCMOP5_BC,1,30000,B_ref_y_tau,A_ref_tau,0.0140273336672912,0.0061406894328461,-0.054838709677419,0.25,0.0140273336672912,NaN,2
LIRCMOP5_BC,1,30000,C_ref_y,B_ref_y_tau,-0.0346221531200328,-0.0271734885047019,0.207779886148007,-0.45,-0.0350291190921735,NaN,-1
LIRCMOP5_BC,1,30000,C_ref_y,A_ref_tau,-0.0205948194527416,-0.0210327990718558,0.152941176470588,-0.2,-0.0210017854248823,NaN,1
LIRCMOP5_BC,1,50000,B_ref_y_tau,A_ref_tau,0.0412310502137434,0.0425971890824649,-0.318181818181818,0,0.0442293213489853,0.0184464830784246,2
