problem,calibratorVariant,queryVariant,run,poolCount,candidateCount,eligibleCount,selectedCount,oracleCount,meanDB,medianDB,QPTau,rhoUtilityNegDB
DASCMOP2_BC,raw,HighProbBoundary,4,902,32847,27428,7164,7164,0.00143173628114773,0.00148727769499331,1,-0.399285550404894
DASCMOP2_BC,raw,HighProbBoundary,5,900,31464,26082,7139,7139,0.0010183341810243,0.000893728291126769,1,-0.452084388237965
DASCMOP2_BC,raw,ParetoOnly,1,901,31986,26950,7103,7103,0.00087185479709655,0.000757396322875239,1,-0.176454790901071
DASCMOP2_BC,raw,ParetoOnly,2,899,32372,27168,7163,7163,0.000873738117632435,0.000744280015572364,1,-0.159070765351735
DASCMOP2_BC,raw,ParetoOnly,3,900,31765,26373,7173,7173,0.00079816844836764,0.000611467937369839,1,-0.205839422952517
DASCMOP2_BC,raw,ParetoOnly,4,902,32847,27428,7164,7164,0.000863261576139552,0.000729125286597163,1,-0.162238664997807
DASCMOP2_BC,raw,ParetoOnly,5,900,31464,26082,7139,7139,0.000736661243085651,0.000525006927911791,1,-0.194720114238874
DASCMOP2_BC,raw,RandBoundary,1,901,31986,26950,7103,7103,0.000974984969928957,0.000916716804494336,1,-0.0197759106194921
DASCMOP2_BC,raw,RandBoundary,2,899,32372,27168,7163,7163,0.000964925261450459,0.000889119942172693,1,-0.0432403519364347
DASCMOP2_BC,raw,RandBoundary,3,900,31765,26373,7173,7173,0.000956140180290665,0.000879052073376865,1,-0.0619795684754914
DASCMOP2_BC,raw,RandBoundary,4,902,32847,27428,7164,7164,0.000983792097904835,0.000881938696414895,1,-0.0127173783906747
DASCMOP2_BC,raw,RandBoundary,5,900,31464,26082,7139,7139,0.000917886651178914,0.00083074912117501,1,-0.113248493967261
DASCMOP2_BC,raw,UncertainOnly,1,901,31986,26950,7103,7103,0.000776583227830511,0.000759388417824968,1,-0.041998852718862
DASCMOP2_BC,raw,UncertainOnly,2,899,32372,27168,7163,7163,0.00074923432011273,0.000730014923216745,1,-0.00489088653247936
DASCMOP2_BC,raw,UncertainOnly,3,900,31765,26373,7173,7173,0.000755858111376081,0.00072858763766844,1,-0.0553838805936057
DASCMOP2_BC,raw,UncertainOnly,4,902,32847,27428,7164,7164,0.000738159311103196,0.000714728800144835,1,0.0312528896247389
DASCMOP2_BC,raw,UncertainOnly,5,900,31464,26082,7139,7139,0.000726146440038669,0.000680794795933459,1,-0.111526524010318
DASCMOP2_BC,temperature,Full,1,901,31986,26950,7103,7103,0.00087185479709655,0.000757396322875239,1,-0.176454790901071
DASCMOP2_BC,temperature,Full,2,899,32372,27168,7163,7163,0.000873738117632435,0.000744280015572364,1,-0.159070765351735
DASCMOP2_BC,temperature,Full,3,900,31765,26373,7173,7173,0.00079816844836764,0.000611467937369839,1,-0.205839422952517
DASCMOP2_BC,temperature,Full,4,902,32847,27428,7164,7164,0.000863261576139552,0.000729125286597163,1,-0.162238664997807
DASCMOP2_BC,temperature,Full,5,900,31464,26082,7139,7139,0.000736661243085651,0.000525006927911791,1,-0.194720114238874
DASCMOP2_BC,temperature,HighProbBoundary,1,901,31986,26950,7103,7103,0.00122072251246421,0.00107801235174018,1,-0.338611692328276
DASCMOP2_BC,temperature,HighProbBoundary,2,899,32372,27168,7163,7163,0.00135044239549933,0.00135225900714622,1,-0.38054795688789
DASCMOP2_BC,temperature,HighProbBoundary,3,900,31765,26373,7173,7173,0.00127081225416862,0.00121347369003915,1,-0.369658456050521
DASCMOP2_BC,temperature,HighProbBoundary,4,902,32847,27428,7164,7164,0.00143060645686454,0.00148350342795104,1,-0.405488492817012
DASCMOP2_BC,temperature,HighProbBoundary,5,900,31464,26082,7139,7139,0.00101785168427372,0.000893125137384161,1,-0.448406719572316
DASCMOP2_BC,temperature,ParetoOnly,1,901,31986,26950,7103,7103,0.00087185479709655,0.000757396322875239,1,-0.176454790901071
DASCMOP2_BC,temperature,ParetoOnly,2,899,32372,27168,7163,7163,0.000873738117632435,0.000744280015572364,1,-0.159070765351735
DASCMOP2_BC,temperature,ParetoOnly,3,900,31765,26373,7173,7173,0.00079816844836764,0.000611467937369839,1,-0.205839422952517
DASCMOP2_BC,temperature,ParetoOnly,4,902,32847,27428,7164,7164,0.000863261576139552,0.000729125286597163,1,-0.162238664997807
DASCMOP2_BC,temperature,ParetoOnly,5,900,31464,26082,7139,7139,0.000736661243085651,0.000525006927911791,1,-0.194720114238874
DASCMOP2_BC,temperature,RandBoundary,1,901,31986,26950,7103,7103,0.000973874195984767,0.000916101083761637,1,-0.0164559719832138
DASCMOP2_BC,temperature,RandBoundary,2,899,32372,27168,7163,7163,0.000981445363089409,0.00090717002227094,1,-0.030802651854821
DASCMOP2_BC,temperature,RandBoundary,3,900,31765,26373,7173,7173,0.000951139669352337,0.000876805912886615,1,-0.0387522504413944
DASCMOP2_BC,temperature,RandBoundary,4,902,32847,27428,7164,7164,0.000988664063596255,0.0008819531861537,1,-0.0080971677295779
DASCMOP2_BC,temperature,RandBoundary,5,900,31464,26082,7139,7139,0.000909192352184866,0.000824219895931095,1,-0.0897922432012354
DASCMOP2_BC,temperature,UncertainOnly,1,901,31986,26950,7103,7103,0.000776103594084221,0.000757393137261907,1,-0.0400574292991546
DASCMOP2_BC,temperature,UncertainOnly,2,899,32372,27168,7163,7163,0.000749976948179157,0.000730014923216745,1,-0.00472099576781423
DASCMOP2_BC,temperature,UncertainOnly,3,900,31765,26373,7173,7173,0.000755473564060876,0.00072858763766844,1,-0.0545960103126395
DASCMOP2_BC,temperature,UncertainOnly,4,902,32847,27428,7164,7164,0.0007352456693909,0.000709606617717584,1,0.0391457172567099
DASCMOP2_BC,temperature,UncertainOnly,5,900,31464,26082,7139,7139,0.000726704966209618,0.000680794795933459,1,-0.110665823492312
DASCMOP3_BC,auto,Full,1,904,5833,3348,3259,3259,0.00048219449083497,0.000484007538530349,1,0.0365439580620396
DASCMOP3_BC,auto,Full,2,913,6337,3602,3418,3418,0.000517315762473531,0.000498875012954422,1,-0.0307597084970597
DASCMOP3_BC,auto,Full,3,897,6375,3874,3744,3744,0.00048069869063413,0.000481686717482596,1,0.0578899650176577
DASCMOP3_BC,auto,Full,4,902,5948,3257,3196,3196,0.000509635032582293,0.000516070704005884,1,-0.0319486007249509
DASCMOP3_BC,auto,Full,5,897,6245,3590,3471,3471,0.000505342967901098,0.000504689311077717,1,0.00131078120219432
DASCMOP3_BC,auto,HighProbBoundary,1,904,5833,3348,3259,3259,0.000487813147677492,0.000488251582182157,1,-0.089213072570465
DASCMOP3_BC,auto,HighProbBoundary,2,913,6337,3602,3418,3418,0.000515670758657649,0.000498339789065588,1,-0.16565658228548
