problem,baseVariant,compareVariant,metric,pairCount,baseMedian,compareMedian,medianDiff,signrankP
LIRCMOP7_BC,raw,beta,TWS,5,0.00399749005352894,0.00445867775871634,-0.00112074573436997,0.1875
LIRCMOP7_BC,raw,temperature,TWS,5,0.00399749005352894,0.00301907190488548,0.000175651675889429,0.625
LIRCMOP7_BC,raw,auto,meanCoreNearGap,5,0.17039735192214,0.182693613740323,-0.0080791320068585,0.8125
LIRCMOP7_BC,raw,beta,meanCoreNearGap,5,0.17039735192214,0.187234445921539,-0.016837093999399,0.3125
LIRCMOP7_BC,raw,temperature,meanCoreNearGap,5,0.17039735192214,0.182950638973943,-0.0089619218703807,0.625
LIRCMOP7_BC,raw,auto,meanECE,5,0.254876893765044,0.244181471833991,0.00511629920274226,0.3125
LIRCMOP7_BC,raw,beta,meanECE,5,0.254876893765044,0.193292213146036,0.0811111824265672,0.125
LIRCMOP7_BC,raw,temperature,meanECE,5,0.254876893765044,0.234586059131972,0.0119704866057639,0.0625
LIRCMOP8_BC,raw,auto,TGP,5,0.0192962542565267,0.0114155251141553,0.00679501698754247,0.625
LIRCMOP8_BC,raw,beta,TGP,5,0.0192962542565267,0.0114155251141553,0.00792751981879955,0.3125
LIRCMOP8_BC,raw,temperature,TGP,5,0.0192962542565267,0.0227014755959137,0,0.625
LIRCMOP8_BC,raw,auto,TWS,5,0.00391296964688456,0.00355097970817645,0.000965123020323566,0.625
LIRCMOP8_BC,raw,beta,TWS,5,0.00391296964688456,0.0030574066445824,0.00148646454012891,0.625
LIRCMOP8_BC,raw,temperature,TWS,5,0.00391296964688456,0.00391323810591416,-2.68459029595901e-07,1
LIRCMOP8_BC,raw,auto,meanCoreNearGap,5,0.197159108970231,0.196774881034457,0.0063886592647118,0.1875
LIRCMOP8_BC,raw,beta,meanCoreNearGap,5,0.197159108970231,0.205596852282087,0.00540251543427864,1
LIRCMOP8_BC,raw,temperature,meanCoreNearGap,5,0.197159108970231,0.213799268853918,-0.00744330907416491,0.125
LIRCMOP8_BC,raw,auto,meanECE,5,0.198330013944357,0.189027990821961,0.0280726301184315,0.0625
LIRCMOP8_BC,raw,beta,meanECE,5,0.198330013944357,0.175824822525476,0.0371009931677991,0.0625
LIRCMOP8_BC,raw,temperature,meanECE,5,0.198330013944357,0.216065059088783,-0.00141963903477949,0.4375
LIRCMOP9_BC,raw,auto,TGP,5,0.497249724972497,0.506104328523862,-0.0300792231024789,0.4375
LIRCMOP9_BC,raw,beta,TGP,5,0.497249724972497,0.424944812362031,0.0267035392863207,0.125
LIRCMOP9_BC,raw,temperature,TGP,5,0.497249724972497,0.520487264673311,-0.0241758241758241,0.3125
LIRCMOP9_BC,raw,auto,TWS,5,0.210952756712041,0.247668142176686,-0.0363880638258248,0.125
LIRCMOP9_BC,raw,beta,TWS,5,0.210952756712041,0.222658526872607,-0.0134829470151941,0.8125
LIRCMOP9_BC,raw,temperature,TWS,5,0.210952756712041,0.234151724600426,-0.0284042958345548,0.4375
LIRCMOP9_BC,raw,auto,meanCoreNearGap,5,0.0637881248310159,0.0310996770415575,0.022556807038684,0.0625
LIRCMOP9_BC,raw,beta,meanCoreNearGap,5,0.0637881248310159,0.0370530471190587,0.0173737533171358,0.0625
LIRCMOP9_BC,raw,temperature,meanCoreNearGap,5,0.0637881248310159,0.0569858601023204,-0.000453648213893224,0.8125
LIRCMOP9_BC,raw,auto,meanECE,5,0.0938585731457456,0.0867621924723711,0.00859002333188152,0.125
LIRCMOP9_BC,raw,beta,meanECE,5,0.0938585731457456,0.0963089249296187,0.00107532229667212,1
LIRCMOP9_BC,raw,temperature,meanECE,5,0.0938585731457456,0.0877822295835751,0.00607634356217054,0.625
MW10_BC,raw,auto,TGP,5,0.0517051705170517,0.0420353982300885,0.0414847161572052,0.4375
MW10_BC,raw,beta,TGP,5,0.0517051705170517,0.00986842105263158,0.0163008653978678,0.625
MW10_BC,raw,temperature,TGP,5,0.0517051705170517,0.0685840707964602,-0.0168789002794085,0.3125
MW10_BC,raw,auto,TWS,5,0.00584727598989345,0.0107085464967596,-0.00161767113139239,1
MW10_BC,raw,beta,TWS,5,0.00584727598989345,0.00335044661484846,7.08790995578119e-05,1
MW10_BC,raw,temperature,TWS,5,0.00584727598989345,0.00476466322929768,-0.00152612618692474,0.3125
MW10_BC,raw,auto,meanCoreNearGap,5,0.177559795960093,0.174843362708766,-0.0329160997589481,0.4375
MW10_BC,raw,beta,meanCoreNearGap,5,0.177559795960093,0.188285277077969,-0.0107254811178759,1
