problem,calibratorVariant,run,updateCount,auditReadyUpdateCount,boundaryStarted,meanECE,meanCoreNearGap,TWS,TGP,finalCalibrator,dominantCalibrator
LIRCMOP13_BC,auto,4,986,944,1,0.099262260565141,0.100820671873898,0.0325546799862893,0.189618644067797,raw,temperature
LIRCMOP13_BC,auto,5,986,941,1,0.111275957871828,0.124155283528015,0.0148157299846315,0.130712008501594,beta,beta
LIRCMOP13_BC,beta,1,986,946,1,0.101714982345742,0.121172908275136,0.082181652950886,0.249471458773784,beta,beta
LIRCMOP13_BC,beta,2,985,944,1,0.125189358953763,0.141887429158247,0.033512466910446,0.0900423728813559,beta,beta
LIRCMOP13_BC,beta,3,986,947,1,0.137995566468733,0.174512362841784,0.0236290489206915,0.0791974656810982,beta,beta
LIRCMOP13_BC,beta,4,985,943,1,0.153760528881661,0.162816827772685,0.0377082814567283,0.100742311770944,beta,beta
LIRCMOP13_BC,beta,5,988,943,1,0.112361011947125,0.136903830747208,0.0125219585731778,0.0710498409331919,beta,beta
LIRCMOP13_BC,raw,1,985,945,1,0.133414731184542,0.130308041181795,0.018333811860495,0.0857142857142857,raw,raw
LIRCMOP13_BC,raw,2,985,944,1,0.12026372161054,0.11963187113759,0.019711443025954,0.129237288135593,raw,raw
LIRCMOP13_BC,raw,3,985,946,1,0.155359371601991,0.153447790310297,0.0194212206858119,0.100422832980973,raw,raw
LIRCMOP13_BC,raw,4,987,945,1,0.128376312230258,0.125604688440355,0.0154092227694722,0.104761904761905,raw,raw
LIRCMOP13_BC,raw,5,986,941,1,0.161967430587978,0.157252220609352,0.0125797724123517,0.0828905419766206,raw,raw
LIRCMOP13_BC,temperature,1,986,946,1,0.121516857292461,0.12051101582278,0.0186894934564076,0.0665961945031713,temperature,temperature
LIRCMOP13_BC,temperature,2,985,944,1,0.100893639106586,0.0990699019320743,0.0377102103457959,0.309322033898305,temperature,temperature
