problem,run,seed,arm,FE,IGD
LIRCMOP5_BC,9,9,de20,40000,0.345391376682655
LIRCMOP5_BC,9,9,de20,50000,0.278925523682808
LIRCMOP5_BC,9,9,de20,60000,0.220701806447812
LIRCMOP5_BC,9,9,de20,70000,0.158827019666841
LIRCMOP5_BC,9,9,de20,80000,0.106604984521784
LIRCMOP5_BC,9,9,de20,90000,0.0205064911424861
LIRCMOP5_BC,9,9,de20,100000,0.0140986199771922
LIRCMOP5_BC,10,10,mainline,10000,1.23799376376464
LIRCMOP5_BC,10,10,mainline,20000,1.22796885852741
LIRCMOP5_BC,10,10,mainline,30000,1.22264068604451
LIRCMOP5_BC,10,10,mainline,40000,1.20852512178146
LIRCMOP5_BC,10,10,mainline,50000,1.19243810656646
LIRCMOP5_BC,10,10,mainline,60000,0.757213782085037
LIRCMOP5_BC,10,10,mainline,70000,0.0786989869766059
LIRCMOP5_BC,10,10,mainline,80000,0.0442034638507235
LIRCMOP5_BC,10,10,mainline,90000,0.0381029238313865
LIRCMOP5_BC,10,10,mainline,100000,0.0211708062604656
LIRCMOP5_BC,10,10,de20,10000,1.23913239341196
LIRCMOP5_BC,10,10,de20,20000,1.22576876741495
LIRCMOP5_BC,10,10,de20,30000,0.328737781191162
LIRCMOP5_BC,10,10,de20,40000,0.133294500204016
LIRCMOP5_BC,10,10,de20,50000,0.100005401645402
LIRCMOP5_BC,10,10,de20,60000,0.0593959318237538
LIRCMOP5_BC,10,10,de20,70000,0.0503428918167851
LIRCMOP5_BC,10,10,de20,80000,0.0330351099603309
LIRCMOP5_BC,10,10,de20,90000,0.029527617157537
LIRCMOP5_BC,10,10,de20,100000,0.0256519542278385
LIRCMOP7_BC,1,1,mainline,10000,0.175685621898128
LIRCMOP7_BC,1,1,mainline,20000,0.125063601289663
LIRCMOP7_BC,1,1,mainline,30000,0.110545989911767
LIRCMOP7_BC,1,1,mainline,40000,0.0584206550637341
LIRCMOP7_BC,1,1,mainline,50000,0.0148434742839979
LIRCMOP7_BC,1,1,mainline,60000,0.0106115249785394
LIRCMOP7_BC,1,1,mainline,70000,0.008829155305324
LIRCMOP7_BC,1,1,mainline,80000,0.00861422095061196
LIRCMOP7_BC,1,1,mainline,90000,0.00849543713605134
LIRCMOP7_BC,1,1,mainline,100000,0.00845281623936541
LIRCMOP7_BC,1,1,de20,10000,0.184266106690817
LIRCMOP7_BC,1,1,de20,20000,0.101023605114398
LIRCMOP7_BC,1,1,de20,30000,0.0770935854357467
LIRCMOP7_BC,1,1,de20,40000,0.0304052658726859
LIRCMOP7_BC,1,1,de20,50000,0.0115658241024925
LIRCMOP7_BC,1,1,de20,60000,0.00990425223324518
LIRCMOP7_BC,1,1,de20,70000,0.00919020162483307
LIRCMOP7_BC,1,1,de20,80000,0.00871773921324046
LIRCMOP7_BC,1,1,de20,90000,0.00825535518463187
LIRCMOP7_BC,1,1,de20,100000,0.00820628860161537
LIRCMOP7_BC,2,2,mainline,10000,1.7157467003444
LIRCMOP7_BC,2,2,mainline,20000,0.163318821025014
LIRCMOP7_BC,2,2,mainline,30000,0.0348958191391965
LIRCMOP7_BC,2,2,mainline,40000,0.0169456491630408
LIRCMOP7_BC,2,2,mainline,50000,0.011737729842584
LIRCMOP7_BC,2,2,mainline,60000,0.00987098765845684
LIRCMOP7_BC,2,2,mainline,70000,0.00927658409442331
LIRCMOP7_BC,2,2,mainline,80000,0.00878439341673209
LIRCMOP7_BC,2,2,mainline,90000,0.00820194249444212
LIRCMOP7_BC,2,2,mainline,100000,0.00787089221333678
LIRCMOP7_BC,2,2,de20,10000,1.73396893030946
LIRCMOP7_BC,2,2,de20,20000,0.0955146827438835
LIRCMOP7_BC,2,2,de20,30000,0.0397009185069268
LIRCMOP7_BC,2,2,de20,40000,0.0349569568405899
LIRCMOP7_BC,2,2,de20,50000,0.0253197729250343
LIRCMOP7_BC,2,2,de20,60000,0.0184906219044447
LIRCMOP7_BC,2,2,de20,70000,0.0114107251661987
LIRCMOP7_BC,2,2,de20,80000,0.00968645004438644
LIRCMOP7_BC,2,2,de20,90000,0.00863873775143845
LIRCMOP7_BC,2,2,de20,100000,0.00833078289079887
LIRCMOP7_BC,3,3,mainline,10000,0.200044622324765
LIRCMOP7_BC,3,3,mainline,20000,0.121292072560864
LIRCMOP7_BC,3,3,mainline,30000,0.100534049821165
LIRCMOP7_BC,3,3,mainline,40000,0.105186907814735
LIRCMOP7_BC,3,3,mainline,50000,0.0730329529268623
LIRCMOP7_BC,3,3,mainline,60000,0.0237663108083881
LIRCMOP7_BC,3,3,mainline,70000,0.013842723707344
LIRCMOP7_BC,3,3,mainline,80000,0.0107075677366543
LIRCMOP7_BC,3,3,mainline,90000,0.00915550479653949
LIRCMOP7_BC,3,3,mainline,100000,0.00895744323516372
LIRCMOP7_BC,3,3,de20,10000,0.325211654705205
LIRCMOP7_BC,3,3,de20,20000,0.124794845727284
LIRCMOP7_BC,3,3,de20,30000,0.131193873179407
LIRCMOP7_BC,3,3,de20,40000,0.113731763602874
LIRCMOP7_BC,3,3,de20,50000,0.108083497068674
LIRCMOP7_BC,3,3,de20,60000,0.0905064332949358
LIRCMOP7_BC,3,3,de20,70000,0.0164532491149657
LIRCMOP7_BC,3,3,de20,80000,0.00971810109721785
LIRCMOP7_BC,3,3,de20,90000,0.00978138763913424
LIRCMOP7_BC,3,3,de20,100000,0.00880696626279591
LIRCMOP7_BC,4,4,mainline,10000,0.519631318963491
LIRCMOP7_BC,4,4,mainline,20000,0.169153984068984
LIRCMOP7_BC,4,4,mainline,30000,0.160493397354078
LIRCMOP7_BC,4,4,mainline,40000,0.125462871536566
LIRCMOP7_BC,4,4,mainline,50000,0.108264024477995
LIRCMOP7_BC,4,4,mainline,60000,0.0197714471274468
LIRCMOP7_BC,4,4,mainline,70000,0.00974029234835763
LIRCMOP7_BC,4,4,mainline,80000,0.00891943103574322
LIRCMOP7_BC,4,4,mainline,90000,0.00841917883243959
LIRCMOP7_BC,4,4,mainline,100000,0.00797001163019462
LIRCMOP7_BC,4,4,de20,10000,1.68526205262102
LIRCMOP7_BC,4,4,de20,20000,0.182651758161414
LIRCMOP7_BC,4,4,de20,30000,0.152824781022703
LIRCMOP7_BC,4,4,de20,40000,0.136197918722645
LIRCMOP7_BC,4,4,de20,50000,0.0929261618864856
LIRCMOP7_BC,4,4,de20,60000,0.011090381281964
LIRCMOP7_BC,4,4,de20,70000,0.00886564781035681
LIRCMOP7_BC,4,4,de20,80000,0.00833278655541982
LIRCMOP7_BC,4,4,de20,90000,0.0081737996247674
LIRCMOP7_BC,4,4,de20,100000,0.0080826931006614
LIRCMOP7_BC,5,5,mainline,10000,0.206926493418665
LIRCMOP7_BC,5,5,mainline,20000,0.150636759777085
LIRCMOP7_BC,5,5,mainline,30000,0.11943534595398
LIRCMOP7_BC,5,5,mainline,40000,0.0199272567911461
LIRCMOP7_BC,5,5,mainline,50000,0.0108915898232944
LIRCMOP7_BC,5,5,mainline,60000,0.00882395140613307
LIRCMOP7_BC,5,5,mainline,70000,0.00884917121412974
LIRCMOP7_BC,5,5,mainline,80000,0.00878201207196197
LIRCMOP7_BC,5,5,mainline,90000,0.00888434038576492
LIRCMOP7_BC,5,5,mainline,100000,0.00849564961170713
LIRCMOP7_BC,5,5,de20,10000,0.188645507823076
LIRCMOP7_BC,5,5,de20,20000,0.143283395929681
LIRCMOP7_BC,5,5,de20,30000,0.139504729729321
LIRCMOP7_BC,5,5,de20,40000,0.13687481784207
LIRCMOP7_BC,5,5,de20,50000,0.131265141111294
LIRCMOP7_BC,5,5,de20,60000,0.130256506418843
LIRCMOP7_BC,5,5,de20,70000,0.113995807652859
LIRCMOP7_BC,5,5,de20,80000,0.11379240015836
LIRCMOP7_BC,5,5,de20,90000,0.100890558672499
LIRCMOP7_BC,5,5,de20,100000,0.10096542749181
LIRCMOP7_BC,6,6,mainline,10000,0.19087148937537
LIRCMOP7_BC,6,6,mainline,20000,0.0997319791908421
LIRCMOP7_BC,6,6,mainline,30000,0.0407087021031891
LIRCMOP7_BC,6,6,mainline,40000,0.032430518576701
LIRCMOP7_BC,6,6,mainline,50000,0.0226064171349342
LIRCMOP7_BC,6,6,mainline,60000,0.0109676525423226
LIRCMOP7_BC,6,6,mainline,70000,0.00971251082046684
LIRCMOP7_BC,6,6,mainline,80000,0.00912803468808339
LIRCMOP7_BC,6,6,mainline,90000,0.00909556137427698
LIRCMOP7_BC,6,6,mainline,100000,0.00945503256861209
LIRCMOP7_BC,6,6,de20,10000,0.194815701414615
LIRCMOP7_BC,6,6,de20,20000,0.109242805330809
LIRCMOP7_BC,6,6,de20,30000,0.0901596642266759
LIRCMOP7_BC,6,6,de20,40000,0.0130460012925732
LIRCMOP7_BC,6,6,de20,50000,0.0105338046693509
LIRCMOP7_BC,6,6,de20,60000,0.00881812662701957
LIRCMOP7_BC,6,6,de20,70000,0.00865779178548329
LIRCMOP7_BC,6,6,de20,80000,0.00812870633340865
LIRCMOP7_BC,6,6,de20,90000,0.00778940308132518
LIRCMOP7_BC,6,6,de20,100000,0.00798001177808792
LIRCMOP7_BC,7,7,mainline,10000,1.69123557484584
LIRCMOP7_BC,7,7,mainline,20000,0.137994244435547
LIRCMOP7_BC,7,7,mainline,30000,0.0382051185468113
LIRCMOP7_BC,7,7,mainline,40000,0.0143767382068717
LIRCMOP7_BC,7,7,mainline,50000,0.0107869811076224
LIRCMOP7_BC,7,7,mainline,60000,0.00935878450643965
LIRCMOP7_BC,7,7,mainline,70000,0.00890769086435974
LIRCMOP7_BC,7,7,mainline,80000,0.00920281396732354
LIRCMOP7_BC,7,7,mainline,90000,0.00861537257345952
LIRCMOP7_BC,7,7,mainline,100000,0.00868998255955329
LIRCMOP7_BC,7,7,de20,10000,0.692786397854601
LIRCMOP7_BC,7,7,de20,20000,0.15540025420261
LIRCMOP7_BC,7,7,de20,30000,0.0961941003768318
LIRCMOP7_BC,7,7,de20,40000,0.0327473566631709
LIRCMOP7_BC,7,7,de20,50000,0.0260366928062994
LIRCMOP7_BC,7,7,de20,60000,0.0177098550003791
LIRCMOP7_BC,7,7,de20,70000,0.0138533190148382
LIRCMOP7_BC,7,7,de20,80000,0.00967338018979505
LIRCMOP7_BC,7,7,de20,90000,0.00898007973756066
LIRCMOP7_BC,7,7,de20,100000,0.00857711392713213
LIRCMOP7_BC,8,8,mainline,10000,0.20286451264888
LIRCMOP7_BC,8,8,mainline,20000,0.132136902300929
LIRCMOP7_BC,8,8,mainline,30000,0.124702128040029
LIRCMOP7_BC,8,8,mainline,40000,0.1195290665641
LIRCMOP7_BC,8,8,mainline,50000,0.116682601103037
LIRCMOP7_BC,8,8,mainline,60000,0.10465317766158
