problem,FE,pairedRuns,mainlineMean,mainlineStd,mainlineMedian,DE20Mean,DE20Std,DE20Median,meanDeltaDE20MinusMainline,medianDeltaDE20MinusMainline,mainlineWins,DE20Wins,ties,signTestP
LIRCMOP10_BC,80000,10,0.0748107247073709,0.0451143981951136,0.0765073634279247,0.079076493159981,0.0438039580626495,0.0820353474705643,0.00426576845261008,0.000548445469599465,6,4,0,0.75390625
LIRCMOP10_BC,90000,10,0.0500656526781748,0.0391040589274218,0.0288549041458976,0.050383789696837,0.0390218002130154,0.0290512891066222,0.000318137018662245,-0.00153887984011176,5,5,0,1
LIRCMOP10_BC,100000,10,0.0246387384329416,0.00588607088469595,0.0231174178265069,0.0222187035289845,0.00578933475390126,0.0233785307806665,-0.00242003490395707,-0.00361517435781689,4,6,0,0.75390625
LIRCMOP12_BC,10000,10,0.31914726852701,0.0684239133418103,0.303639176589321,0.355692626426889,0.0847104076818113,0.373321341216867,0.0365453578998788,0.000121134104347748,5,5,0,1
LIRCMOP12_BC,20000,10,0.256737693012787,0.0583349655438651,0.291852014645278,0.307046093187613,0.0950172305116967,0.311276254377733,0.0503084001748254,0.00980299676598639,7,3,0,0.34375
LIRCMOP12_BC,30000,10,0.232246159122102,0.0604807280872337,0.239325208577459,0.271855842309985,0.102925389175389,0.2460273597318,0.0396096831878829,0.00312869947011338,7,3,0,0.34375
LIRCMOP12_BC,40000,10,0.17484814431925,0.0403665952757435,0.160327893164124,0.219178552853823,0.07438275352258,0.179489402610127,0.0443304085345732,0.0135493496734187,7,3,0,0.34375
LIRCMOP12_BC,50000,10,0.160530850350182,0.0393572798040946,0.151668471538158,0.180606981260519,0.0723003938167669,0.159170231009824,0.020076130910337,0.00287648449130185,6,4,0,0.75390625
LIRCMOP12_BC,60000,10,0.146797303739036,0.0411474134426127,0.140563447030651,0.154069477228264,0.0469965394001818,0.140594525484869,0.00727217348922822,0.000602949906747724,5,5,0,1
LIRCMOP12_BC,70000,10,0.122088364174708,0.0215949361522789,0.132185266329947,0.143855858392176,0.0448927221659864,0.135454850587428,0.0217674942174683,0.00414101808191208,6,4,0,0.75390625
LIRCMOP12_BC,80000,10,0.097031806242783,0.0276866063248395,0.097081282907157,0.103977145378466,0.0307964314475447,0.0970710816111191,0.00694533913568322,-0.00232596521659002,5,5,0,1
LIRCMOP12_BC,90000,10,0.0712222321746623,0.0289372061074131,0.0847910607953321,0.0842859556413048,0.0306576363792363,0.0833832349909243,0.0130637234666426,-0.000314953062658926,5,5,0,1
LIRCMOP12_BC,100000,10,0.0426884391158131,0.0273817116313664,0.0349050554773384,0.0443016870187123,0.0193341435619218,0.0358525161961795,0.00161324790289921,0.00621034428951113,5,5,0,1
LIRCMOP14_BC,10000,10,0.321316362302385,0.115512059314316,0.249761143733747,0.427186832310307,0.217006696034534,0.337576453126699,0.105870470007922,0.0652445705256221,7,3,0,0.34375
LIRCMOP14_BC,20000,10,0.151343269016448,0.0330220540766569,0.153460838551127,0.159527661890499,0.0328907843703053,0.176858438819661,0.00818439287405094,0.0237257139670553,6,4,0,0.75390625
LIRCMOP14_BC,30000,10,0.100679679662965,0.00133145780427994,0.100426880483367,0.101947315523197,0.00181171177892495,0.101557456794261,0.00126763586023167,0.00135410562897405,7,3,0,0.34375
LIRCMOP14_BC,40000,10,0.100363045797236,0.000770292521763418,0.10043517350043,0.100004020715282,0.00119042434958812,0.0997404764894766,-0.000359025081953168,-0.000345772154101039,4,6,0,0.75390625
LIRCMOP14_BC,50000,10,0.100867362502564,0.00122256336987494,0.100981657559886,0.100288275809451,0.000653696843519585,0.100527223074182,-0.000579086693113193,-0.000827981881765777,3,7,0,0.34375
LIRCMOP14_BC,60000,10,0.0993200116385957,0.00117652372139226,0.0989453878389589,0.0999084404907591,0.00105021350552041,0.100069715776344,0.000588428852163401,-0.000176228666874209,4,6,0,0.75390625
LIRCMOP14_BC,70000,10,0.0995473089707941,0.00164928521424393,0.0992842156986078,0.100101780017381,0.00116166303295126,0.0998603903238974,0.00055447104658686,0.000912230226959583,8,2,0,0.109375
LIRCMOP14_BC,80000,10,0.0988272107664992,0.00084823425426384,0.0987717517824996,0.100876168571391,0.00117601573371279,0.100641159194449,0.00204895780489169,0.00201304518146547,9,1,0,0.021484375
LIRCMOP14_BC,90000,10,0.0994597613425454,0.00111314332690159,0.0996300611453194,0.10022931903855,0.00067468493371448,0.10030731371425,0.000769557696004494,0.000440222547335473,6,4,0,0.75390625
LIRCMOP14_BC,100000,10,0.0995612105099394,0.00145016687795467,0.0992109841139839,0.0996277150718024,0.00103824808821796,0.0995589730100571,6.65045618630067e-05,0.000163256078088356,6,4,0,0.75390625
