problem,epoch,run,poolFE,useFE,wallClockSeconds,trainingPairs,batchesPerEpoch,updates,pairVisits,candidateValidCount,candidateValidRate,guidedCount,guidedSelectionRate,fallbackCount,rawFeasibleRate,rawInfeasibleRate,rawBoundaryMarginMedian,rawCVMedian,rawDecisionUniqueRate,guidedFeasibleRate,guidedBoundaryMarginMedian,guidedCVMedian,guidedDominatingRate,guidedUsefulRate,guidedUsefulPerQuota,qualityScore
LIRCMOP8_BC,700,1,3000,3100,43.1277475416667,32,1,700,22400,496,0.992,20,1,0,0.808,0.192,0.533132324736982,0,1,0.65,0.2392699877371,0,0.2,0.05,0.05,0.784519590081838
LIRCMOP8_BC,700,2,3400,3500,43.5810394166667,32,1,700,22400,500,1,20,1,0,0.876,0.124,1.06018154206522,0,1,0.65,0.106591290768812,0,0.25,0.05,0.05,0.767949641720678
LIRCMOP8_BC,700,3,2600,2700,81.3748869583333,39,2,1400,27300,500,1,20,1,0,0.826,0.174,0.51537691119558,0,1,0.5,0.0990841101536251,0.00569331263594521,0.2,0.05,0.05,0.755177509117104
LIRCMOP8_BC,700,4,3200,3300,84.6273771666667,42,2,1400,29400,500,1,20,1,0,0.622,0.378,0.0989502560195187,0,1,0.35,0.0607970072669406,0.0205697672887338,0.45,0.1,0.1,0.7781
LIRCMOP8_BC,700,5,3200,3300,84.015403125,42,2,1400,29400,482,0.964,20,1,0,0.874,0.126,0.927980882348602,0,1,0.75,0.169848540264046,0,0.1,0.05,0.05,0.779437624291758
LIRCMOP8_BC,1000,1,3000,3100,63.2548333333333,32,1,1000,32000,499,0.998,20,1,0,0.754,0.246,0.319728457425127,0,1,0.7,0.254607073094025,0,0.25,0.15,0.15,0.80315896360133
LIRCMOP8_BC,1000,2,3400,3500,64.1147256666667,32,1,1000,32000,500,1,20,1,0,0.778,0.222,0.393155322728735,0,1,0.55,0.0955358302284366,0,0.15,0,0,0.7769
LIRCMOP8_BC,1000,3,2600,2700,117.815003333333,39,2,2000,39000,500,1,20,1,0,0.646,0.354,0.129541557882057,0,1,0.4,0.0881959531090942,0.0387266129598103,0.45,0,0,0.7808
LIRCMOP8_BC,1000,4,3200,3300,116.38440225,42,2,2000,42000,499,0.998,20,1,0,0.71,0.29,0.347666850156412,0,1,0.6,0.0907566132095942,0,0.2,0.1,0.1,0.786248555401004
LIRCMOP8_BC,1000,5,3200,3300,117.154068,42,2,2000,42000,486,0.972,20,1,0,0.918,0.082,0.828784220862239,0,1,0.45,0.0888889441252088,0.00972851231928944,0.2,0.05,0.05,0.732801341875098
LIRCMOP10_BC,200,1,4000,4100,23.385846375,38,2,400,7600,282,0.564,20,1,0,1,0,13.3823420604504,0,1,1,6.27852975851644,0,0,0,0,0.459515128480368
LIRCMOP10_BC,200,2,5000,5100,29.0904380416667,33,2,400,6600,129,0.258,20,1,0,1,0,11.6444836875026,0,1,1,1.21047802082068,0,0,0,0,0.45
LIRCMOP10_BC,200,3,4200,4300,29.0665891666667,37,2,400,7400,337,0.674,20,1,0,1,0,9.24673177469501,0,1,1,2.94933058182413,0,0,0,0,0.45
LIRCMOP10_BC,200,4,3800,3900,29.465805,38,2,400,7600,113,0.226,20,1,0,1,0,17.4290724239615,0,1,1,0.184862180338497,0,0,0,0,0.541112530652241
LIRCMOP10_BC,200,5,4600,4700,27.5681139166667,39,2,400,7800,177,0.354,1,0.05,19,1,0,13.3120173268461,0,1,1,0.332234778411389,0,0,0,0,0.165
LIRCMOP10_BC,400,1,4000,4100,32.6432259583333,38,2,800,15200,354,0.708,20,1,0,1,0,12.9845799115718,0,1,1,6.56755018808672,0,0,0,0,0.457606090245411
LIRCMOP10_BC,400,2,5000,5100,56.2010320833333,33,2,800,13200,171,0.342,20,1,0,1,0,9.21420105233745,0,1,1,1.15371794166469,0,0,0,0,0.52528215943704
LIRCMOP10_BC,400,3,4200,4300,50.964355125,37,2,800,14800,462,0.924,20,1,0,1,0,2.48849930888705,0,1,1,0.424416680884166,0,0,0,0,0.734509583661752
LIRCMOP10_BC,400,4,3800,3900,51.063591125,38,2,800,15200,276,0.552,20,1,0,1,0,6.7631741747984,0,1,1,0.359482842196784,0,0,0,0,0.576093212295523
LIRCMOP10_BC,400,5,4600,4700,46.1156439583333,39,2,800,15600,487,0.974,20,1,0,1,0,0.832921766642608,0,1,1,0.152792784828405,0,0,0,0,0.737212973971133
LIRCMOP10_BC,700,1,4000,4100,91.299422,38,2,1400,26600,419,0.838,20,1,0,0.956,0.044,6.74425866529204,0,1,1,2.01132537987858,0,0,0,0,0.735734806397435
LIRCMOP10_BC,700,2,5000,5100,84.3598584166667,33,2,1400,23100,292,0.584,20,1,0,1,0,7.42424618239787,0,1,1,0.741354864796469,0,0,0,0,0.645913240353442
LIRCMOP10_BC,700,3,4200,4300,84.45721025,37,2,1400,25900,496,0.992,20,1,0,0.964,0.036,0.283915161900431,0,1,0.85,0.116668467468284,0,0,0,0,0.7847
LIRCMOP10_BC,700,4,3800,3900,85.17561275,38,2,1400,26600,364,0.728,20,1,0,0.986,0.014,2.20012041048754,0,1,0.85,0.0874105299126998,0,0,0,0,0.752298319333216
LIRCMOP10_BC,700,5,4600,4700,83.8548731666667,39,2,1400,27300,500,1,20,1,0,0.98,0.02,0.304919555428803,0,1,0.95,0.0686465964384392,0,0,0,0,0.787118237755167
LIRCMOP10_BC,1000,1,4000,4100,125.786630666667,38,2,2000,38000,456,0.912,20,1,0,0.872,0.128,2.92329842450008,0,1,0.95,3.29761785222623,0,0.05,0,0,0.775752688580126
LIRCMOP10_BC,1000,2,5000,5100,121.71038875,33,2,2000,33000,357,0.714,20,1,0,0.988,0.012,4.20077186911958,0,1,0.95,0.357760072105645,0,0,0,0,0.7949
LIRCMOP10_BC,1000,3,4200,4300,119.637951333333,37,2,2000,37000,489,0.978,20,1,0,0.982,0.018,0.33030328269018,0,1,1,0.20331010303487,0,0,0,0,0.797976879252157
LIRCMOP10_BC,1000,4,3800,3900,116.904492541667,38,2,2000,38000,403,0.806,20,1,0,0.936,0.064,0.511590419988787,0,1,0.8,0.0720020852554901,0,0.05,0,0,0.7828
LIRCMOP10_BC,1000,5,4600,4700,119.088853458333,39,2,2000,39000,498,0.996,20,1,0,0.968,0.032,0.211705485715022,0,1,0.9,0.0538775549655506,0,0,0,0,0.7914
LIRCMOP12_BC,200,1,6000,6100,15.1665924583333,32,1,200,6400,135,0.27,0,0,20,1,0,21.5933495547352,0,1,NaN,NaN,NaN,NaN,NaN,0,0
LIRCMOP12_BC,200,2,8000,8100,16.386923625,32,1,200,6400,52,0.104,0,0,20,1,0,30.2197001033915,0,1,NaN,NaN,NaN,NaN,NaN,0,0
LIRCMOP12_BC,200,3,5800,5900,16.8644416666667,32,1,200,6400,154,0.308,20,1,0,1,0,28.8583287430608,0,1,1,11.827395904094,0,0,0,0,0.45
LIRCMOP12_BC,200,4,3800,3900,17.3815519583333,33,2,400,6600,256,0.512,20,1,0,1,0,30.8482862697233,0,1,1,9.42971483223882,0,0,0,0,0.45
LIRCMOP12_BC,200,5,3000,3100,15.473276,32,1,200,6400,152,0.304,20,1,0,1,0,16.7287522361071,0,1,1,6.15494280219747,0,0,0,0,0.502407162998128
LIRCMOP12_BC,400,1,6000,6100,31.214055625,32,1,400,12800,140,0.28,0,0,20,1,0,19.3553217471078,0,1,NaN,NaN,NaN,NaN,NaN,0,0.0449267504849364
LIRCMOP12_BC,400,2,8000,8100,26.4784689583333,32,1,400,12800,64,0.128,17,0.85,3,1,0,22.0581311564765,0,1,1,6.63625824032665,0,0,0,0,0.492356731473655
LIRCMOP12_BC,400,3,5800,5900,15.897814,32,1,400,12800,231,0.462,20,1,0,1,0,24.3157901859269,0,1,1,8.2935899775803,0,0,0,0,0.533550355326883
LIRCMOP12_BC,400,4,3800,3900,31.10706275,33,2,800,13200,344,0.688,20,1,0,1,0,15.3637214759843,0,1,1,4.02406853502266,0,0,0,0,0.648028582580935
LIRCMOP12_BC,400,5,3000,3100,23.0358546666667,32,1,400,12800,208,0.416,20,1,0,1,0,12.0058452600303,0,1,1,5.03049727765258,0,0,0,0,0.686848224552013
LIRCMOP12_BC,700,1,6000,6100,52.6279923333333,32,1,700,22400,191,0.382,20,1,0,1,0,13.6743124468181,0,1,1,4.08678198045532,0,0,0,0,0.608968804147934
