problem,seed,mode,stage,targetFE,actualFE,missing,IGD,HV,p1Feasible,p2Feasible,populationOverlap,archivePairs,activePairs,inactivePairs,eligiblePairs,activeRefCoverage,frontRejectedPairs,infeasibleDominatedPairs,eligibilityRemoved,feasiblePoolEligible,infeasiblePoolEligible,gapMedian,gapP90,trainingEvents,generatorUpdates,criticUpdates,trainingSeconds,lastTrainingFE,lastTrainingPairs,lastTrainingEpochs,lastTrainingUpdates,lastTrainingEndpointRMSE,modelVersion,consumedTrainingFE,consumedTrainingPairs,consumedTrainingEpochs,consumedTrainingUpdates,consumedTrainingRMSE,productionFE,selectedCount,selectedFeasibleRate,survivedP1,survivedP2,cumulativeGuided,nativeBandRate,rebuildInputPoints,netGapReduction
LIRCMOP6_BC,2,pair_only,FE100000,100000,100000,0,0.0101321357741473,0.194684776903927,100,100,66,0,0,0,0,0,0,0,0,128,0,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,2169,NaN,400,0
LIRCMOP6_BC,3,cgan,first_true_use,5600,5600,0,1.54933913888991,0,100,88,77,5,4,1,5,0.04,5,4,5,19,8,0.537598586828426,0.877075791190181,1,1000,5000,124.745338541667,5400,8,933.333333333333,1000,0.096962206743533,1,5400,8,933.333333333333,1000,0.096962206743533,5400,20,0.75,6,8,20,NaN,420,0
LIRCMOP6_BC,3,cgan,FE010000,10000,10000,0,1.35630082473047,0,100,53,37,39,32,7,39,0.32,11,3,12,56,104,0.220354024002476,0.33760882758321,22,1420,7100,183.252341125,10000,32,10.6666666666667,20,0.0505572551877066,21,9800,34,10,20,0.0543293172218473,9800,20,0.2,1,2,460,NaN,484,0.316473907872767
LIRCMOP6_BC,3,cgan,FE030000,30000,30000,0,1.34716026707658,0,100,44,12,438,74,364,438,0.74,6,2,8,148,353,0.187981272540043,0.345502684145013,122,3420,17100,417.271941125,30000,74,4.63768115942029,20,0.0735584928469357,121,29800,77,4.41379310344828,20,0.0730391887660483,29800,20,0,0,0,2460,NaN,1254,1.08297850426875
LIRCMOP6_BC,3,cgan,FE050000,50000,50000,0,0.144267872721886,0.158625567296054,100,55,55,6,6,0,6,0.06,1,2,3,54,54,0.107264941295446,0.158465649754375,172,4420,22100,538.730356125,44800,8,20,20,0.0430427248283487,172,44800,8,20,20,0.0430427248283487,49800,20,0.25,0,0,4460,NaN,412,0
LIRCMOP6_BC,3,cgan,FE070000,70000,70000,0,0.021727120525602,0.189707665600062,100,99,93,5,2,3,5,0.02,0,1,1,112,1,0.332423536253551,0.352488261108866,201,5000,25000,608.614054125,68400,8,18.1818181818182,20,0.0366175356882016,201,68400,8,18.1818181818182,20,0.0366175356882016,69800,20,0.15,0,0,6460,NaN,410,0
LIRCMOP6_BC,3,cgan,FE100000,100000,100000,0,0.0143089922319696,0.192652150892204,100,99,93,6,3,3,6,0.03,0,0,0,112,1,0.191724892068621,0.193325335671805,206,5100,25500,620.70192625,73000,8,17.7777777777778,20,0.0262515849714546,206,73000,8,17.7777777777778,20,0.0262515849714546,99800,20,0.4,0,0,7520,NaN,412,0
LIRCMOP6_BC,3,fallback_only,first_true_use,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN
LIRCMOP6_BC,3,fallback_only,FE010000,10000,10000,0,1.36294957848072,0,100,76,55,25,21,4,25,0.21,9,2,10,41,38,0.41818305809502,0.56076174499008,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,0,NaN,446,0
LIRCMOP6_BC,3,fallback_only,FE030000,30000,30000,0,0.237893849297533,0.0723659066286279,100,77,92,17,5,12,17,0.05,1,1,1,48,40,0.0315749936491389,0.285469955492113,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,0,NaN,422,0
