problem,FE,pairs,updates,epochs,movementRMSE,commonRefs,adjacentTargetJump,top10WeightShare,effectiveWeightedPairs,preRMSE,postRMSE,relativeError,noiseRMSE
LIRCMOP5_BC,12000,41,20,6.66666666666667,0.0697542802384457,16,0.077752941056796,0.662844043109954,6.59831042931485,0.0816420921924433,0.0807986901565944,2.18844811950148,0.0244227237263908
LIRCMOP5_BC,12200,38,20,6.66666666666667,0.0816317208307594,23,0.0780714981390196,0.594073380521213,7.74057624608085,0.0754518570237872,0.0745707594328538,2.34683812755422,0.0242676232616301
LIRCMOP5_BC,12400,44,20,6.66666666666667,0.0746424708839959,24,0.0775916204952466,0.604452777169281,8.79295482380269,0.0747879633798858,0.0743042787456686,2.26255478471381,0.0237971915201889
LIRCMOP5_BC,12600,40,20,6.66666666666667,0.0727413883319975,22,0.0724890255519651,0.606626250902991,7.49741790046758,0.0758682095381649,0.0752622821955691,2.2751599911206,0.0234338871954184
LIRCMOP5_BC,12800,41,20,6.66666666666667,0.0766966621270377,21,0.0797451887600807,0.660421084076045,7.36475688006579,0.0732477300721067,0.0728269147872491,2.15348396247647,0.0230712072329786
LIRCMOP5_BC,13000,40,20,6.66666666666667,0.075329540725862,22,0.0790028301146581,0.620418152218989,6.346488087489,0.0742288699791716,0.0737531602809246,2.13266076505917,0.0226555551885251
LIRCMOP5_BC,13200,49,20,5,0.0760989450057489,18,0.0797451887600807,0.585259410458398,9.22244195013616,0.0755541452301346,0.0751576963018197,2.25230146065352,0.022664135358554
LIRCMOP5_BC,13400,48,20,6.66666666666667,0.0764683411830397,28,0.07927009177281,0.580198064883107,9.62209817475921,0.0737266744132575,0.0728800195744057,2.35870749343484,0.0227524217207414
LIRCMOP5_BC,13600,46,20,6.66666666666667,0.0800838122291245,25,0.0786802343319492,0.583066689611913,9.59256342017695,0.0741970973830159,0.073591478965477,2.44060375906434,0.0225959534651946
LIRCMOP5_BC,13800,47,20,6.66666666666667,0.0843892438116956,22,0.0821834036919925,0.628754537092736,9.1690281354947,0.0736881304499001,0.0731764436571617,2.32175873820504,0.022303714732827
LIRCMOP5_BC,14000,47,20,6.66666666666667,0.0915494272145732,20,0.0814397544123616,0.601433557536638,9.84547019544854,0.0747280662396635,0.0738587391804352,2.44075544952696,0.0220020676438425
LIRCMOP5_BC,14200,47,20,6.66666666666667,0.0904064458085702,21,0.0811137804022485,0.579741196783476,10.4821876407246,0.0730258276611771,0.0724278021434267,2.49429808571902,0.0216671311690579
LIRCMOP5_BC,14400,52,20,5,0.091312431605238,26,0.0803580634085276,0.588926285503163,11.4897102039116,0.0757678062966822,0.0754167673555497,2.35719620715821,0.0211400230739996
LIRCMOP5_BC,14600,54,20,5,0.0753526276758787,26,0.0814718530751126,0.602905921296544,9.87547321318833,0.0772343452131797,0.0768509704185254,2.21756192423062,0.0208066214128214
LIRCMOP5_BC,14800,54,20,5,0.0772683557536695,29,0.0838199254358722,0.635164882853819,10.0732995038291,0.0773847885834389,0.0767130370567427,2.24317323494149,0.0205388010729102
LIRCMOP5_BC,15000,51,20,5,0.084697897254322,33,0.0848430806560505,0.675099430269627,8.86153323233663,0.0773852645107141,0.0770003491331857,2.2619131185693,0.0202622878519745
LIRCMOP5_BC,15200,49,20,5,0.0840473419220232,31,0.0821266225298563,0.65050399488056,9.17224345256734,0.0771239326985061,0.0770381980502497,2.28309762948604,0.0200752658971484
LIRCMOP5_BC,15400,48,20,6.66666666666667,0.0503708384819127,35,0.0812378210584387,0.57285693116154,11.4574110764291,0.0737663393016511,0.0732132070795224,2.15942022653794,0.0200956730284411
LIRCMOP5_BC,15600,52,20,5,0.082456518985288,29,0.0816416877662845,0.677712514609119,9.42923835368733,0.0765039534182352,0.0761645709135439,2.2783035991944,0.0197983922886441
LIRCMOP5_BC,15800,48,20,6.66666666666667,0.0866879513666492,31,0.0845881355408863,0.692219767538536,7.53534266762131,0.0776106317108484,0.077394480211225,2.17498861815156,0.0197708134178303
LIRCMOP5_BC,16000,42,20,6.66666666666667,0.0826033192716606,19,0.0812378210584387,0.672549087660654,8.56558551718875,0.074160901129631,0.0738765571986263,2.41327012033016,0.019074994180257
LIRCMOP5_BC,16200,48,20,6.66666666666667,0.0818521124535696,21,0.0851353277804971,0.599067587615198,10.8059821708286,0.0740942152841355,0.0726673141751464,2.06935280539119,0.0193692553274482
LIRCMOP5_BC,16400,52,20,5,0.0847738837124916,25,0.0819770961035454,0.675590162079717,9.57928970464632,0.079374974117011,0.0790911164974883,2.3158587578777,0.0189682874077178
LIRCMOP5_BC,16600,56,20,5,0.0822692653375373,34,0.0778723763956691,0.854973975960268,2.57883810404753,0.077908064682748,0.0774525677167546,2.76507002890349,0.0187311373708417
LIRCMOP5_BC,16800,56,20,5,0.0821546675823631,36,0.0814290258021644,0.631906998001217,10.8363584201891,0.0806498339045866,0.0804650810038115,2.41098537042191,0.0186265107904053
LIRCMOP5_BC,17000,52,20,5,0.0741918036614979,36,0.0845881355408863,0.871856615845317,2.12619410638589,0.0810441605022652,0.0810984928634417,2.66338954003256,0.0184787711268301
LIRCMOP5_BC,17200,48,20,6.66666666666667,0.0790979674249996,26,0.0834619153508283,0.648681828217834,9.24115894808028,0.0838775372668086,0.0831479637319393,2.48573803895321,0.018503772997212
LIRCMOP5_BC,17400,53,20,5,0.0890347977524707,23,0.0839838117286653,0.698792266030162,8.74630329092059,0.0794233971299105,0.0791097117704689,2.27352317680316,0.0182231023522751
LIRCMOP5_BC,17600,50,20,5,0.093904089745008,29,0.0854238852444464,0.680946877043051,8.4896469563116,0.0839073838474984,0.0830546353482984,2.31709411259035,0.0180851605519293
LIRCMOP5_BC,17800,53,20,5,0.0924272070759277,29,0.087299460555263,0.872278035772971,2.3793966472637,0.0787269275543634,0.0788517298739382,2.84873858038105,0.0180131867992139
LIRCMOP5_BC,18000,52,20,5,0.088730181149876,29,0.0819770961035454,0.876280930901167,2.45706612900855,0.0811127185252721,0.0816368275193769,2.93418864737708,0.0178355972580412
LIRCMOP5_BC,18200,54,20,5,0.0803009475920327,29,0.0830358064651984,0.737080686752915,9.00212747372,0.077911543065277,0.0777399227842806,2.32911530401553,0.0177112143816494
LIRCMOP5_BC,18400,53,20,5,0.0879209592648185,32,0.0796212188123842,0.712545655756073,8.42114886213586,0.0777044797151707,0.0774280680751121,2.20463421118194,0.0176668994821735
LIRCMOP5_BC,18600,55,20,5,0.0868501198314722,30,0.0797098185353552,0.669200546179868,9.47012550926793,0.0805093529035619,0.0800136876091562,2.34842913022939,0.0177534324364971
LIRCMOP5_BC,18800,58,20,5,0.0884484559769267,34,0.0764984095378031,0.831462779742886,2.68105352852476,0.0780920777983304,0.0789225670541795,2.90517236224244,0.0174736885407918
LIRCMOP5_BC,19000,59,20,5,0.0793182831011607,31,0.0832991220903147,0.832218430054603,2.72046414254628,0.0842887792399186,0.0848616646552103,2.94381217468073,0.0173407683775308
LIRCMOP5_BC,19200,62,20,5,0.0853223133838251,34,0.0791058480497802,0.8297541585019,3.21611236477095,0.0782336562814178,0.0789300154339441,2.96662688644757,0.017356607426942
LIRCMOP5_BC,19400,58,20,5,0.0847098051479598,35,0.0812262653562832,0.831052130481034,3.04005994109084,0.0852486958764258,0.085698187415878,3.13064416034841,0.0169562881850262
LIRCMOP5_BC,19600,60,20,5,0.0868595986447334,36,0.078969414492185,0.667885635822458,10.926022535548,0.0822068485312985,0.0812869193911604,2.54717236152981,0.0169602972698485
LIRCMOP5_BC,19800,61,20,5,0.0772262492725638,41,0.0803591557959495,0.652011774122976,10.7888221539135,0.0816600306273843,0.0807086825284592,2.43627157829534,0.0168675831392633
LIRCMOP5_BC,20000,58,20,5,0.0793681973773769,38,0.0831770562863648,0.840677049632369,2.97249692715978,0.0824211035445682,0.0832414637460659,3.03697619367244,0.0168134231932702
LIRCMOP5_BC,20200,61,20,5,0.0809309473730339,32,0.0852492975030873,0.869482666836914,3.1295771156366,0.0796262449837868,0.0803012237685208,2.88361833693412,0.0166442375838187
LIRCMOP5_BC,20400,60,20,5,0.0833391441609469,35,0.0831770562863648,0.840664977566503,2.55971198707531,0.080651291448335,0.0814665108480248,2.76210782139753,0.016515596082313
LIRCMOP5_BC,20600,57,20,5,0.0852675054370908,39,0.086869372495318,0.839671990924524,2.90964784428816,0.0868461159997087,0.0872010410472209,3.05807826820023,0.0164649890353312
LIRCMOP5_BC,20800,57,20,5,0.0962538634714469,31,0.0842829505158718,0.692154476594968,10.1736369334768,0.0826878660011217,0.0819875334412467,2.84227907687477,0.0163378414600719
LIRCMOP5_BC,21000,59,20,5,0.0783482367323643,36,0.0821701771202063,0.844544339204337,3.13230676667274,0.0873532735482922,0.0883962549194879,3.11878091035477,0.0163704577018654
LIRCMOP5_BC,21200,57,20,5,0.0879159107133951,38,0.0832436208083396,0.828722621282415,3.05720972706665,0.087157687000044,0.0874792105568461,3.16065085005003,0.016153490691365
LIRCMOP5_BC,21400,58,20,5,0.09371949707793,42,0.084885273507017,0.86376122803361,2.71448855881233,0.0921638571692954,0.0923708572832768,2.98030733765794,0.0160474168842611
LIRCMOP5_BC,21600,61,20,5,0.0904073869202026,45,0.0839215944379029,0.694901947153195,10.7552956829303,0.0903390907964278,0.0890374961056503,2.62913920962824,0.0159951568000685
LIRCMOP5_BC,21800,64,20,5,0.0882522332860119,42,0.0828622201016646,0.686033725074301,9.44929324363162,0.0861340279032701,0.0848888642778118,2.55617380525066,0.0158859457207195
LIRCMOP5_BC,22000,59,20,5,0.0851141218158035,38,0.0831620677262464,0.821480895700357,2.79094431046238,0.0904967724381759,0.0912682574981793,3.0472826102667,0.0157673039428396
LIRCMOP5_BC,22200,65,20,4,0.088564517706136,44,0.0750732187071701,0.661417417610711,12.228586037439,0.0881387434719283,0.0874442866076331,2.93310907557326,0.0155718563518584
LIRCMOP5_BC,22400,68,20,4,0.0851975580411962,47,0.0856229108387771,0.826140191699429,2.71546879611828,0.0855434629450639,0.0861753385627402,2.82986217224233,0.015492872123884
LIRCMOP5_BC,22600,65,20,4,0.0892659065827575,47,0.0872857805176731,0.813056838319589,2.96608303323762,0.0856494604618925,0.0861476631783946,3.04744615275331,0.0153677657710872
LIRCMOP5_BC,22800,59,20,5,0.0850262101923342,49,0.0833099699404202,0.661779171220874,11.0981279031959,0.0914947209817892,0.0887494474165768,3.15238776598701,0.0156190338572168
LIRCMOP5_BC,23000,64,20,5,0.0813365352993839,45,0.0854556644432787,0.604968553626473,14.1398249122351,0.087765229855696,0.0865395534188082,2.67717975562281,0.0155806786420627
LIRCMOP5_BC,23200,62,20,5,0.0901426502084928,45,0.0837404183959759,0.663382602157069,11.7354111654636,0.0841456124638057,0.083000028334057,2.90660881833297,0.0156110244534697
LIRCMOP5_BC,23400,64,20,5,0.0840496357939439,48,0.0842538484345398,0.658645211333094,10.8862485083602,0.0847539340066435,0.0836775676892053,2.50027494741771,0.0155053806173892
LIRCMOP5_BC,23600,64,20,5,0.0762517765190555,54,0.0818568240737557,0.604625368327122,12.3847505681616,0.0836564242874788,0.0824380338420686,2.7471757407276,0.0154807770361806
LIRCMOP5_BC,23800,67,20,4,0.0850376341098744,47,0.0855392876410279,0.54854901028504,17.1917697001834,0.0806349105059466,0.0796177067149181,2.85334415381576,0.015314326462745
