problem,run,target_FE,actual_FE,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,feasible_rate,boundary_sample_current_count,boundary_sample_prev_pair_count,boundary_sample_merged_count,boundary_sample_finite_count,boundary_feasible_count,boundary_infeasible_count,boundary_main_feasible_count,boundary_ref_with_main_feasible_count,boundary_ref_with_neighbor_infeasible_count,boundary_ref_pairable_count,boundary_pair_distance_count,boundary_pair_dominated_skip_count,boundary_pair_appended_count,boundary_candidate_raw_count,boundary_candidate_finite_count,boundary_candidate_pareto_count,boundary_candidate_gap_count,boundary_candidate_dedup_count,boundary_candidate_final_count,dataset_bmem_input_count,dataset_valid_train_count,dataset_invalid_train_count,dataset_query_count
DASCMOP2_BC,2,10000,10184,46,70,1,0.14,70,0,0.00370072681297885,0.0102309538859839,70,20,3,0.00366434591425431,45.7142857142857,0.463291959477803,0.920012031556668,0,0,20,20,20,0.285714285714286,0.0128400595898682,0.0162228048541351,0,0.0164433646074557,NaN,0.65,0.0413650431383558,1,0.0135359690733039,0.0166019481480825,1,400,55,510,510,198,312,91,17,89,17,8116,0,85,85,85,85,70,70,70,70,70,0,20
DASCMOP2_BC,2,30000,30204,137,70,1,0.14,70,0,0.00127431351325934,0.0237716679531577,70,20,3,0.00366434591425431,45.7142857142857,0.511538054107917,1.07917893058412,0,0,20,20,20,0.285714285714286,0.0109756454585498,0.0125427311629425,0,0.0210652320538689,NaN,0.35,-0.0118147893050749,1,0.0174286889827896,0.0210652320538689,1,400,65,530,530,209,321,165,22,100,22,15261,5,110,110,110,110,70,70,70,70,70,0,20
DASCMOP2_BC,2,50000,50004,227,240,1,0.48,240,0,0.00347534716752851,0.0143380427424532,240,20,3,0.0125634717060148,13.3333333333333,0.703125105261774,1.05521115642043,0,3,17,20,3,0.0833333333333333,0.0553414676539419,0.135664960800235,0,0.14666761814836,NaN,0.55,0.0264602155207118,0.125,0.058021201459402,0.146713215432754,0.15,400,245,890,890,380,510,342,48,100,48,23588,0,240,240,240,240,240,240,240,240,240,0,20
DASCMOP2_BC,2,70000,70024,318,225,1,0.45,225,0,0.00258833353505735,0.00803333502178113,225,20,3,0.0117782547243888,14.2222222222222,0.746349259158365,1.05521115642043,0,5,15,20,2,0.0888888888888889,0.0251579071487088,0.041552101763633,0,0.0433597385949644,NaN,0.35,-0.074981373722388,0.0444444444444444,0.0319955401737212,0.0437846259252499,0.1,400,225,850,850,368,482,326,49,100,49,22100,0,245,245,245,245,225,225,225,225,225,0,20
DASCMOP2_BC,2,100000,100164,455,230,1,0.46,230,0,0.00171823160316757,0.00623465468936344,230,20,3,0.0120399937182641,13.9130434782609,0.700730541879988,1.08885546742748,0,4,16,20,2,0.0869565217391304,0.0150882966373072,0.11392366475088,0,0.11392366475088,NaN,0.45,-0.00843658374100337,0.0869565217391304,0.0158966091536883,0.118189410182501,0.1,400,222,844,844,360,484,324,50,100,50,21299,0,250,250,250,250,230,230,230,230,230,0,20
DASCMOP2_BC,3,10000,10206,46,96,1,0.2,96,0,0.00636530643217791,0.0178349357889091,96,20,3,0.0050253886824059,33.3333333333333,0.505816812746122,1.01172521360791,0,6,14,20,0,0.208333333333333,0.155790585343082,0.165567005420478,0,0.167120763924167,NaN,0.3,-0.0634386630899785,0,0.159156314526133,0.16750075916669,0,400,85,570,570,233,337,131,22,100,22,8730,0,110,110,110,110,96,96,96,96,96,0,20
DASCMOP2_BC,3,30000,30006,136,201,1,0.41,201,0,0.00432452745779249,0.0139692155941517,201,20,3,0.0105219075537874,15.9203980099502,0.634399340213078,0.902124114461742,0,5,15,20,15,0.0995024875621891,0.0583252924036494,0.079250335090559,0,0.0806605938492724,NaN,0.75,0.102549714003135,0.463414634146341,0.0626958501603321,0.0810785376168706,0.75,400,200,800,800,340,460,300,44,100,44,20304,0,220,220,220,220,201,201,201,201,201,0,20
DASCMOP2_BC,3,50000,50026,227,225,1,0.45,225,0,0.001926751369948,0.00739622209612147,225,20,3,0.0117782547243888,14.2222222222222,0.541062528951875,0.949272873492222,0,3,17,20,9,0.0888888888888889,0.0648486422842633,0.074023586786814,0,0.0874064061874038,NaN,0.8,0.158726273344655,0.4,0.0722458939352836,0.0877335547930784,0.45,400,225,850,850,359,491,326,49,100,49,22403,0,245,245,245,245,225,225,225,225,225,0,20
DASCMOP2_BC,3,70000,70046,318,230,1,0.46,230,0,0.00150083448930699,0.00613529562441468,230,20,3,0.0120399937182641,13.9130434782609,0.590497611387314,0.91531811970258,0,2,18,20,11,0.0869565217391304,0.0257915577657618,0.104196404648246,0,0.105662073158761,NaN,0.55,0.0342899259643195,0.478260869565217,0.0287962800061076,0.108178195995788,0.55,400,231,862,862,363,499,330,48,100,48,22108,0,240,240,240,240,230,230,230,230,230,0,20
DASCMOP2_BC,3,100000,100186,455,235,1,0.47,235,0,0.00105936041557495,0.00465155128797906,235,20,3,0.0123017327121395,13.6170212765957,0.565438387600908,0.957958658282537,0,3,17,20,10,0.0851063829787234,0.0645788738235505,0.141251117593022,0,0.155376901855381,NaN,0.7,0.0254150736725647,0.382978723404255,0.0656259889983838,0.155775749943347,0.5,400,220,840,840,355,485,318,50,100,50,20702,0,250,250,250,250,235,235,235,235,235,0,20
DASCMOP4_BC,1,10000,10078,48,53,1,0.11,53,0,0.00268056570744736,0.00906516612468207,53,20,3,0.00277443333507826,60.377358490566,0.0160484535452592,0.108509115604013,0,20,0,20,0,0.377358490566038,1.65704091838729,1.91103717838724,0,1.91103717838724,NaN,0.8,0.00332400164897984,0,1.65820157459123,1.91171236783825,0,400,42,484,484,168,316,87,13,95,12,6303,1,57,57,57,57,53,53,53,53,53,0,20
DASCMOP4_BC,1,30000,30098,139,95,1,0.19,95,0,0.000239756604711476,0.000791257006304668,95,20,3,0.00497304088363084,33.6842105263158,0.00203721240916709,0.101518589556985,0,17,3,20,0,0.210526315789474,1.02760842205925,1.45131536041491,0,1.45271850009228,NaN,0.35,-6.31449088210508e-05,0,1.03003926815212,1.45333354768768,0,400,100,600,600,233,367,216,23,100,23,11463,0,114,114,114,114,95,95,95,95,95,0,20
DASCMOP4_BC,1,50000,50118,230,145,1,0.29,145,0,0.000249615420467454,0.00096905026734427,145,20,3,0.00759043082238392,22.0689655172414,0.00320242377499155,0.101454012955689,0,20,0,20,0,0.137931034482759,0.509186931035692,0.801923865455862,0,0.807117525876891,NaN,0.85,0.0383561108192088,0,0.510837978807452,0.808312690359245,0,400,125,650,650,240,410,227,30,100,30,11793,0,150,150,150,150,145,145,145,145,145,0,20
