problem,stage,stream,addedUpdates,exactDistanceRatio,seenObjectiveGapRatio,singletonObjectiveGapRatio,conditionalSeenGapRatio,objectiveGapRatio,reverseCoverageGapRatio,directionErrorRatio,weightedDecisionMSERatio,supportCriterion
LIRCMOP7_BC,early,2.0,200.0,0.8440021097577264,0.4922820177447596,0.4764467878180585,0.8148636926295978,0.5907244114633415,1.9496973805795617,0.6556731253745718,0.7330535594677358,0
LIRCMOP7_BC,early,2.0,2000.0,0.8329800287584272,0.585479808706043,0.5643160855655108,1.0003798180907737,0.6064600843798323,1.8200743647642754,0.4755394825280813,0.7174433060298332,0
LIRCMOP7_BC,early,3.0,20.0,0.9438939697917745,0.5371822890334341,0.5296828788663884,1.0471819422405808,0.6016351159496085,1.4718127335659439,0.9870782951408141,0.8961847478262153,0
LIRCMOP7_BC,early,3.0,200.0,0.8943301252620288,0.5957819118807424,0.5877881797878192,1.2324681245342701,0.6567861853706156,1.7261378722530694,0.8432641501200405,0.8201354528437428,0
LIRCMOP7_BC,early,3.0,2000.0,0.7976612658055207,0.5695821345579142,0.5633629616179181,0.6301849445208512,0.6028921449441077,1.5488710652107718,0.35149960694974913,0.6600748100090348,0
LIRCMOP7_BC,late,1.0,20.0,0.949917065842741,0.7893569133882804,0.7920239022190623,0.8775019578768277,0.7901681218675627,0.887202888363557,0.8272911740110468,0.9020642225708356,1
LIRCMOP7_BC,late,1.0,200.0,0.863830864042648,1.1987587169982532,1.1571214226524171,0.9151373062948142,1.2271391373474378,1.6582519794426478,0.5931575642876451,0.7465071847435408,0
LIRCMOP7_BC,late,1.0,2000.0,0.805123334295892,0.517391160055015,0.4955182019292415,0.7922034415384941,0.5539405824727679,1.7281425560147465,0.43918435539699313,0.6529327222842001,0
LIRCMOP7_BC,late,2.0,20.0,0.9504596544890065,0.9083751486205269,0.8858021510583548,1.0358137574592226,0.9731468391028947,1.2940333747892387,0.7798012667616312,0.9018760242397833,0
LIRCMOP7_BC,late,2.0,200.0,0.8533393974250724,1.0720648100103032,1.061838933396704,0.9409951177638418,1.088399743619016,1.4911282904340346,0.6262008569594434,0.7344504023291125,0
LIRCMOP7_BC,late,2.0,2000.0,0.8955735230800816,0.9601527346977354,1.0008321523856392,0.9063631522175498,0.9259015129293757,1.1179945618717413,0.6720190112645835,0.8165453162704875,0
LIRCMOP7_BC,late,3.0,20.0,0.9572187174457999,0.97964826822992,0.9784860595740884,0.9561074260621311,1.004970139498663,1.094645687041629,0.8436208189055131,0.9097478702268416,0
LIRCMOP7_BC,late,3.0,200.0,0.8872634772987285,0.8386785710823588,0.7513986043042981,0.831758059191214,0.9255129014271307,1.454800831769635,0.7846229973686643,0.7690807832156302,0
LIRCMOP7_BC,late,3.0,2000.0,0.8581528889352837,0.946709601932021,1.0096597302151407,0.9168898906518148,0.9339802168781969,1.7226907750525555,0.8091273209873164,0.7859832071098236,0
LIRCMOP7_BC,middle,1.0,20.0,0.9534599534702755,0.9058097566879985,0.8992264793077501,0.9163884604847571,1.002542630099503,0.8771916435577202,0.6798716137847653,0.9158604745799477,0
LIRCMOP7_BC,middle,1.0,200.0,0.8673270565021531,0.6471856650833524,0.6236794861126128,0.9926161083525316,0.8028354147695688,1.601408765279976,0.6953381382327549,0.7750084864180948,0
LIRCMOP7_BC,middle,1.0,2000.0,0.8882928154144899,0.4701881062626332,0.4578139053691611,0.9693174872056556,0.6018817206888163,1.3827634610947959,0.7187150840091435,0.8433308223668265,0
LIRCMOP7_BC,middle,2.0,20.0,0.9437232388012887,0.901613709611278,0.8826934880306501,0.9517939120131959,0.8926598813258692,1.120290688106343,0.6206603423964902,0.912141789926077,0
