FE,IGD,HV,guidedCount,problem,stage,mode
22600,1.22720822640567,0,0,LIRCMOP5_BC,early,pair_only
22800,1.22720822640567,0,0,LIRCMOP5_BC,early,pair_only
23000,1.22720822640567,0,0,LIRCMOP5_BC,early,pair_only
23200,1.22720822640567,0,0,LIRCMOP5_BC,early,pair_only
23400,1.22720822640567,0,0,LIRCMOP5_BC,early,pair_only
23600,1.22720822640567,0,0,LIRCMOP5_BC,early,pair_only
23800,1.22720822640567,0,0,LIRCMOP5_BC,early,pair_only
24000,1.22720822640567,0,0,LIRCMOP5_BC,early,pair_only
24200,1.22720822640567,0,0,LIRCMOP5_BC,early,pair_only
24400,1.22720822640567,0,0,LIRCMOP5_BC,early,pair_only
24600,1.2271305331765,0,0,LIRCMOP5_BC,early,pair_only
24800,1.22686339164478,0,0,LIRCMOP5_BC,early,pair_only
25000,1.22686339164478,0,0,LIRCMOP5_BC,early,pair_only
50000,0.203784195110152,0.198040455295637,0,LIRCMOP5_BC,middle,raw
50200,0.203781606568593,0.198124567227435,20,LIRCMOP5_BC,middle,raw
50400,0.203712715513605,0.198161543282903,0,LIRCMOP5_BC,middle,raw
50600,0.203710925382845,0.198238398124895,0,LIRCMOP5_BC,middle,raw
50800,0.203631936776918,0.198351066159525,0,LIRCMOP5_BC,middle,raw
51000,0.203624180659751,0.198461523725396,0,LIRCMOP5_BC,middle,raw
51200,0.203223342530988,0.199012086084521,0,LIRCMOP5_BC,middle,raw
51400,0.203333134321395,0.2015246905918,0,LIRCMOP5_BC,middle,raw
51600,0.20331555975461,0.201641366449513,0,LIRCMOP5_BC,middle,raw
51800,0.20331555975461,0.201641366449513,0,LIRCMOP5_BC,middle,raw
52000,0.190771250175134,0.206918947661114,0,LIRCMOP5_BC,middle,raw
52200,0.180887245189012,0.210458151072322,0,LIRCMOP5_BC,middle,raw
52400,0.173818813128222,0.214715298586282,0,LIRCMOP5_BC,middle,raw
52600,0.173327184704014,0.215036343368489,0,LIRCMOP5_BC,middle,raw
52800,0.173250179710231,0.215222097932482,0,LIRCMOP5_BC,middle,raw
53000,0.16068601883602,0.222230768044476,0,LIRCMOP5_BC,middle,raw
53200,0.152554804051785,0.226193371118273,0,LIRCMOP5_BC,middle,raw
53400,0.152492574694505,0.226268393712762,0,LIRCMOP5_BC,middle,raw
53600,0.150650705028389,0.227296870351665,0,LIRCMOP5_BC,middle,raw
53800,0.149747106742311,0.227693054261317,0,LIRCMOP5_BC,middle,raw
54000,0.149612130660956,0.227840325538912,0,LIRCMOP5_BC,middle,raw
54200,0.149462303697639,0.228054132541648,0,LIRCMOP5_BC,middle,raw
54400,0.149098162007528,0.228390524317828,0,LIRCMOP5_BC,middle,raw
54600,0.148715890839413,0.228730514684963,0,LIRCMOP5_BC,middle,raw
54800,0.148588229950176,0.228915670259778,0,LIRCMOP5_BC,middle,raw
55000,0.148273399482949,0.229153983401135,0,LIRCMOP5_BC,middle,raw
50000,0.203784195110152,0.198040455295637,0,LIRCMOP5_BC,middle,adversarial20
50200,0.203781606568593,0.198124567227435,20,LIRCMOP5_BC,middle,adversarial20
50400,0.203703017927976,0.198291755214309,0,LIRCMOP5_BC,middle,adversarial20
50600,0.203657601035233,0.198485358197421,0,LIRCMOP5_BC,middle,adversarial20
50800,0.185800968865308,0.20864554019449,0,LIRCMOP5_BC,middle,adversarial20
51000,0.185800968865308,0.20864554019449,0,LIRCMOP5_BC,middle,adversarial20
51200,0.160389936415708,0.221357554018744,0,LIRCMOP5_BC,middle,adversarial20
51400,0.160389367560801,0.221361981961539,0,LIRCMOP5_BC,middle,adversarial20
51600,0.160376740375468,0.221453822326767,0,LIRCMOP5_BC,middle,adversarial20
51800,0.15937468935562,0.221992551562735,0,LIRCMOP5_BC,middle,adversarial20
52000,0.158868644062543,0.222725784596352,0,LIRCMOP5_BC,middle,adversarial20
52200,0.158187108887414,0.2232323940867,0,LIRCMOP5_BC,middle,adversarial20
52400,0.145229576151816,0.230492490870404,0,LIRCMOP5_BC,middle,adversarial20
52600,0.145229576151816,0.230494809916897,0,LIRCMOP5_BC,middle,adversarial20
52800,0.143878029843268,0.231604785454588,0,LIRCMOP5_BC,middle,adversarial20
53000,0.135030520068417,0.236099031339102,0,LIRCMOP5_BC,middle,adversarial20
