problem,stage,loss,stream,addedUpdates,reverseFeasibleCoverage,reverseInfeasibleCoverage,f1Offset,f2Offset,f1BaseOffset,f2BaseOffset,f1EnergyOffset,f2EnergyOffset,medianTrueFeasibleNeighborRMS,medianGeneratedFeasibleNeighborRMS
LIRCMOP5_BC,late,adversarial,3,200,0.399135114597541,0.0869681115133705,-0.2550420131007,0.0877548247495489,0.0114410600098833,-0.00615736720971225,-0.266483073110583,0.0939121919592612,0.0329413245358032,0.00658998758638609
LIRCMOP5_BC,late,adversarial,3,2000,0.239218417752519,0.0463922008643894,-0.185059046755041,0.046577621545409,0.00304356563876254,-0.00177893682096232,-0.188102612393803,0.0483565583663714,0.0329413245358032,0.00693572378678776
LIRCMOP5_BC,late,distance,1,0,0.328588695565347,0.152322899500663,-0.325398648542919,0.114029999859024,-0.00365804133180443,0.00179828700848064,-0.321740607211114,0.112231712850544,0.0329413245358032,0.00707492827395944
LIRCMOP5_BC,late,distance,1,20,0.289288962768315,0.0517211627853205,-0.357799107629795,0.0281594506163587,-0.00774991395055302,0.00409064988694245,-0.350049193679242,0.0240688007294163,0.0329413245358032,0.00690493727165292
LIRCMOP5_BC,late,distance,1,200,0.235665930197455,0.0307046844925411,-0.330370367495811,0.00820433893241911,-0.00591787807890057,0.00309313212044995,-0.32445248941691,0.00511120681196916,0.0329413245358032,0.00651370755980468
LIRCMOP5_BC,late,distance,1,2000,0.157118189779972,0.0198209187404931,-0.299276788086352,-0.00074019717386788,-0.00151614842180077,0.000771602309295038,-0.297760639664552,-0.00151179948316291,0.0329413245358032,0.00713889123951126
LIRCMOP5_BC,late,distance,2,0,0.328588695565347,0.152322899500663,-0.325398648542919,0.114029999859024,-0.00365804133180443,0.00179828700848064,-0.321740607211114,0.112231712850544,0.0329413245358032,0.00707492827395944
LIRCMOP5_BC,late,distance,2,20,0.298238457749471,0.0622842081305245,-0.378706701216579,0.032906057772144,-0.0138174398325404,0.00741137400897704,-0.364889261384039,0.025494683763167,0.0329413245358032,0.00694125820775322
LIRCMOP5_BC,late,distance,2,200,0.227752975240337,0.0175235801569692,-0.256197885057878,0.0105239192613323,0.00270641196559054,-0.00159162608482119,-0.258904297023469,0.0121155453461535,0.0329413245358032,0.00650213551011394
LIRCMOP5_BC,late,distance,2,2000,0.156444847031629,0.0102514093772616,-0.316084042639412,0.00113184810403314,-0.00428803950221693,0.00228566363601004,-0.311796003137196,-0.0011538155319769,0.0329413245358032,0.00714935143479212
LIRCMOP5_BC,late,distance,3,0,0.328588695565347,0.152322899500663,-0.325398648542919,0.114029999859024,-0.00365804133180443,0.00179828700848064,-0.321740607211114,0.112231712850544,0.0329413245358032,0.00707492827395944
LIRCMOP5_BC,late,distance,3,20,0.270193494738576,0.0440483926748907,-0.318761114497405,0.0310337150032412,-0.00146892778822063,0.000652986942079253,-0.317292186709185,0.0303807280611619,0.0329413245358032,0.00694491424920861
LIRCMOP5_BC,late,distance,3,200,0.230690723186499,0.0140362600254917,-0.263645977706619,0.0113010879920863,0.000380498884788211,-0.000330231841184243,-0.264026476591407,0.0116313198332706,0.0329413245358032,0.0065457390432736
LIRCMOP5_BC,late,distance,3,2000,0.160372560693586,0.0118320700401017,-0.265085904986786,-2.31896174632049e-05,0.00204386278167166,-0.00115814016180202,-0.267129767768458,0.00113495054433882,0.0329413245358032,0.00711788364904259
LIRCMOP5_BC,middle,adversarial,1,0,0.286177849459091,0.168554198446117,-0.279098943016063,0.0692580360023603,-0.021991088655775,0.0159543467088996,-0.257107854360288,0.0533036892934607,0.0524176950707639,0.018422499464602
LIRCMOP5_BC,middle,adversarial,1,20,0.253805296742191,0.178311442271939,-0.117097578584839,0.0131862434208977,0.00463252973410395,-0.0381350617794384,-0.121730108318943,0.0513213052003361,0.0524176950707639,0.0181889770860997
LIRCMOP5_BC,middle,adversarial,1,200,0.325596012229762,0.128859486034051,-0.184493361115186,0.0407585150222453,-0.00554483457268654,-0.0158684256717997,-0.1789485265425,0.056626940694045,0.0524176950707639,0.0221149439237279
LIRCMOP5_BC,middle,adversarial,1,2000,0.135986551944551,0.102104926121861,-0.0115369400971953,-0.0419934372071377,-0.010231499894786,0.00557591445398104,-0.00130544020240932,-0.0475693516611188,0.0524176950707639,0.0526487134949475
LIRCMOP5_BC,middle,adversarial,2,0,0.286177849459091,0.168554198446117,-0.279098943016063,0.0692580360023603,-0.021991088655775,0.0159543467088996,-0.257107854360288,0.0533036892934607,0.0524176950707639,0.018422499464602
LIRCMOP5_BC,middle,adversarial,2,20,0.348716480229873,0.200085873964113,-0.172590285775887,0.0286521505617898,0.00764530291581487,-0.0426420534965329,-0.180235588691702,0.0712942040583228,0.0524176950707639,0.0178877923047051
LIRCMOP5_BC,middle,adversarial,2,200,0.28239167162775,0.141524965708474,-0.165708512578617,-0.0193125590415874,-0.00826327043917867,-0.014839792039423,-0.157445242139438,-0.00447276700216444,0.0524176950707639,0.0215625818065579
LIRCMOP5_BC,middle,adversarial,2,2000,0.106133495211414,0.0905797525821292,-0.0468913037140007,-0.0657992718459305,-0.0013511464951005,-0.0157372675998615,-0.0455401572189002,-0.050062004246069,0.0524176950707639,0.0588061297052088
LIRCMOP5_BC,middle,adversarial,3,0,0.286177849459091,0.168554198446117,-0.279098943016063,0.0692580360023603,-0.021991088655775,0.0159543467088996,-0.257107854360288,0.0533036892934607,0.0524176950707639,0.018422499464602
LIRCMOP5_BC,middle,adversarial,3,20,0.344734467663441,0.221048985415808,-0.133295948388987,0.0292064735664248,0.0100020939863443,-0.0453105609193669,-0.143298042375331,0.0745170344857917,0.0524176950707639,0.0178472185944994
LIRCMOP5_BC,middle,adversarial,3,200,0.255287621216962,0.122368680888724,-0.0842898414522244,-0.00624226051080083,-0.00764840701794291,-0.016239929638128,-0.0766414344342814,0.00999766912732712,0.0524176950707639,0.0227549515152874
LIRCMOP5_BC,middle,adversarial,3,2000,0.133702600412734,0.109612428408575,0.0597414844283392,-0.0451117840780106,0.00336782667320449,-0.0129477441155614,0.0563736577551348,-0.0321640399624492,0.0524176950707639,0.0573173407909356
LIRCMOP5_BC,middle,distance,1,0,0.286177849459091,0.168554198446117,-0.279098943016063,0.0692580360023603,-0.021991088655775,0.0159543467088996,-0.257107854360288,0.0533036892934607,0.0524176950707639,0.018422499464602
LIRCMOP5_BC,middle,distance,1,20,0.313058208906081,0.140999637385649,-0.213390256652468,-0.0227648550824996,-0.0197165913766759,0.00707325729734543,-0.193673665275792,-0.0298381123798451,0.0524176950707639,0.0189634109376849
LIRCMOP5_BC,middle,distance,1,200,0.332893694188169,0.172726120973368,-0.211137754956026,-0.0533769445706139,-0.00651061608256279,-0.02156298289001,-0.204627138873463,-0.0318139616806039,0.0524176950707639,0.0221468686627957
LIRCMOP5_BC,middle,distance,1,2000,0.123009254466312,0.0883299777722029,-0.0932046321224632,-0.0573166617798489,-0.00465659657692576,-0.0141090309324308,-0.0885480355455374,-0.0432076308474181,0.0524176950707639,0.0423763944632438
LIRCMOP5_BC,middle,distance,2,0,0.286177849459091,0.168554198446117,-0.279098943016063,0.0692580360023603,-0.021991088655775,0.0159543467088996,-0.257107854360288,0.0533036892934607,0.0524176950707639,0.018422499464602
LIRCMOP5_BC,middle,distance,2,20,0.372457583618681,0.185022703106524,-0.288412064856867,-0.0338936386396111,-0.0193884294899158,-0.000789594249322115,-0.269023635366951,-0.033104044390289,0.0524176950707639,0.018995174556437
LIRCMOP5_BC,middle,distance,2,200,0.348700631503556,0.176456617439796,-0.260559839654725,-0.0555944979589636,-0.00975866582710069,-0.0192698267006135,-0.250801173827624,-0.0363246712583501,0.0524176950707639,0.022431280747884
LIRCMOP5_BC,middle,distance,2,2000,0.173996043417768,0.116455717154378,-0.1425927464234,-0.0631645261278092,-0.00529893454629701,-0.0147699150018901,-0.137293811877103,-0.0483946111259191,0.0524176950707639,0.0415108452817508
LIRCMOP5_BC,middle,distance,3,0,0.286177849459091,0.168554198446117,-0.279098943016063,0.0692580360023603,-0.021991088655775,0.0159543467088996,-0.257107854360288,0.0533036892934607,0.0524176950707639,0.018422499464602
